beat,district,area_sq_mi,placename,population,offense_type,nibrs_class,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,"Murder, non-negligent",09A,3,7,6,NA,NA,NA,16,5.3,100,NA,NA,NA,11.1,25.9,22.2,NA,19.6
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,"Murder, non-negligent",09A,4,11,4,3,NA,NA,19,6.3,0,NA,NA,NA,19,52.4,19,NA,30
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,"Murder, non-negligent",09A,7,11,8,8,NA,NA,26,8.7,14.3,NA,NA,NA,15.2,23.9,17.4,NA,18.9
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,"Murder, non-negligent",09A,1,3,2,2,NA,NA,6,2,100,NA,NA,NA,4.2,12.5,8.3,NA,8.3
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,"Murder, non-negligent",09A,2,9,5,2,NA,NA,16,5.3,150,NA,NA,NA,5.6,25,13.9,NA,14.7
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,"Murder, non-negligent",09A,2,8,2,5,NA,NA,12,4,0,NA,NA,NA,5.7,22.9,5.7,NA,11.4
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,"Murder, non-negligent",09A,2,3,7,7,NA,NA,12,4,250,NA,NA,NA,10,15,35,NA,20
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,"Murder, non-negligent",09A,5,7,6,3,NA,NA,18,6,20,NA,NA,NA,17.9,25,21.4,NA,21.4
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,"Murder, non-negligent",09A,3,8,12,9,NA,NA,23,7.7,300,NA,NA,NA,9.7,25.8,38.7,NA,24.8
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,"Murder, non-negligent",09A,1,3,3,NA,NA,NA,7,2.3,200,NA,NA,NA,4,12,12,NA,9.2
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,"Murder, non-negligent",09A,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,5.6,NA,NA
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,"Murder, non-negligent",09A,7,2,7,2,NA,NA,16,5.3,0,NA,NA,NA,18.9,5.4,18.9,NA,14.3
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,"Murder, non-negligent",09A,4,7,4,3,NA,NA,15,5,0,NA,NA,NA,22.2,38.9,22.2,NA,27.8
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,"Murder, non-negligent",09A,3,2,8,2,NA,NA,13,4.3,166.7,NA,NA,NA,10.3,6.9,27.6,NA,14.8
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,"Murder, non-negligent",09A,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,11.1,NA,NA
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,"Murder, non-negligent",09A,3,9,12,3,NA,NA,24,8,300,NA,NA,NA,11.5,34.6,46.2,NA,30.8
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,"Murder, non-negligent",09A,2,7,4,3,NA,NA,13,4.3,100,NA,NA,NA,7.1,25,14.3,NA,15.4
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,"Murder, non-negligent",09A,2,2,4,2,NA,NA,8,2.7,100,NA,NA,NA,9.5,9.5,19,NA,12.9
20G80,20,25.33626534,City Limits,37000,"Murder, non-negligent",09A,1,2,2,2,NA,NA,5,1.7,100,NA,NA,NA,2.7,5.4,5.4,NA,4.6
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,"Murder, non-negligent",09A,1,NA,4,2,NA,NA,NA,NA,300,NA,NA,NA,12.5,NA,50,NA,NA
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,"Murder, non-negligent",09A,2,NA,9,2,NA,NA,NA,NA,350,NA,NA,NA,4.8,NA,21.4,NA,NA
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,"Murder, non-negligent",09A,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,"Murder, non-negligent",09A,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,"Murder, non-negligent",09A,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22000,"Murder, non-negligent",09A,2,3,1,3,NA,NA,6,2,-50,NA,NA,NA,9.1,13.6,4.5,NA,9.1
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,"Murder, non-negligent",09A,3,3,3,1,NA,NA,9,3,0,NA,NA,NA,16.7,16.7,16.7,NA,16.7
24C10,24,5.44044978,Kingwood,13000,"Murder, non-negligent",09A,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA
24C20,24,6.8291794,Kingwood,18000,"Murder, non-negligent",09A,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA
24C30,24,9.78735527,Kingwood,29000,"Murder, non-negligent",09A,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA
24C50,24,7.51791807,Kingwood,5000,"Murder, non-negligent",09A,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA
24C60,24,4.86823328,Kingwood,21000,"Murder, non-negligent",09A,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA
OOJ,NA,NA,NA,NA,"Murder, non-negligent",09A,1,1,1,2,NA,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA
