beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
21I70,21,0.01945113,Hobby Airport,0,Theft,5,1,2,1,2,8,2.7,-60,-60,0,-26,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Theft,1384,1117,1407,653,1517,3908,1302.7,1.7,9.6,7.8,16,17300,13962.5,17587.5,18962.5,16283.8
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Theft,668,722,697,304,711,2087,695.7,4.3,6.4,2,2,1590.5,1719,1659.5,1692.9,1656.4
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Theft,731,795,726,338,769,2252,750.7,-0.7,5.2,5.9,2,3178.3,3456.5,3156.5,3343.5,3263.9
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Theft,1422,1133,1103,568,1239,3658,1219.3,-22.4,-12.9,12.3,2,4740,3776.7,3676.7,4130,4064.3
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Theft,580,510,559,274,625,1649,549.7,-3.6,7.8,11.8,14,2071.4,1821.4,1996.4,2232.1,1963.2
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Theft,709,670,690,300,723,2069,689.7,-2.7,2,4.8,5,3082.6,2913,3000,3143.5,2998.7
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Theft,683,703,782,350,826,2168,722.7,14.5,20.9,5.6,14,3794.4,3905.6,4344.4,4588.9,4015
24C10,24,5.44044978,Kingwood,13000,Theft,194,172,152,68,160,518,172.7,-21.6,-17.5,5.3,-7,1492.3,1323.1,1169.2,1230.8,1328.5
24C20,24,6.8291794,Kingwood,18000,Theft,152,154,129,59,146,435,145,-15.1,-3.9,13.2,1,844.4,855.6,716.7,811.1,805.6
24C30,24,9.78735527,Kingwood,29000,Theft,195,173,156,94,181,524,174.7,-20,-7.2,16,4,672.4,596.6,537.9,624.1,602.4
24C40,24,35.7992771,Kingwood,6000,Theft,51,69,67,23,65,187,62.3,31.4,27.5,-3,4,850,1150,1116.7,1083.3,1038.3
24C50,24,7.51791807,Kingwood,5000,Theft,197,364,384,174,404,945,315,94.9,105.1,5.2,28,3940,7280,7680,8080,6300
24C60,24,4.86823328,Kingwood,21000,Theft,66,64,58,25,61,188,62.7,-12.1,-7.6,5.2,-3,314.3,304.8,276.2,290.5,298.6
21I60,21,0.01236886,Hobby Airport,0,Theft,40,22,16,6,17,78,26,-60,-57.5,6.2,-35,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Theft,3,0,2,0,1,5,1.7,-33.3,-66.7,-50,-41,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Theft,2,9,0,0,0,11,3.7,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Theft,130,121,13,4,9,264,88,-90,-93.1,-30.8,-90,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Theft,184,141,18,12,21,343,114.3,-90.2,-88.6,16.7,-82,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Theft,35,23,9,9,17,67,22.3,-74.3,-51.4,88.9,-24,NA,NA,NA,NA,NA
