beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Burglary,214,130,150,80,0,0,494,164.7,-29.9,-100,-100,-100,737.9,448.3,517.2,0,567.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Drug Offenses,63,40,52,22,0,0,155,51.7,-17.5,-100,-100,-100,217.2,137.9,179.3,0,178.3
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Kidnapping,3,1,3,2,0,0,7,2.3,0,-100,-100,-100,10.3,3.4,10.3,0,7.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Murder,1,0,5,0,0,0,6,2,400,-100,-100,-100,3.4,0,17.2,0,6.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Other,417,722,925,494,0,0,2064,688,121.8,-100,-100,-100,1437.9,2489.7,3189.7,0,2372.4
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Robbery,40,33,55,17,0,0,128,42.7,37.5,-100,-100,-100,137.9,113.8,189.7,0,147.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Sexual Assault,15,14,15,4,0,0,44,14.7,0,-100,-100,-100,51.7,48.3,51.7,0,50.7
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Theft,1711,1391,1326,733,0,0,4428,1476,-22.5,-100,-100,-100,5900,4796.6,4572.4,0,5089.7
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Arson,3,10,2,2,0,0,15,5,-33.3,-100,-100,-100,14.3,47.6,9.5,0,23.8
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Assault,245,250,328,170,0,0,823,274.3,33.9,-100,-100,-100,1166.7,1190.5,1561.9,0,1306.2
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Auto Theft,157,223,195,93,0,0,575,191.7,24.2,-100,-100,-100,747.6,1061.9,928.6,0,912.9
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Burglary,139,133,134,86,0,0,406,135.3,-3.6,-100,-100,-100,661.9,633.3,638.1,0,644.3
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Drug Offenses,32,28,34,24,0,0,94,31.3,6.2,-100,-100,-100,152.4,133.3,161.9,0,149
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Kidnapping,0,4,1,1,0,0,5,1.7,NA,NA,-100,-100,0,19,4.8,0,8.1
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Murder,2,1,0,0,0,0,3,1,-100,-100,NA,-100,9.5,4.8,0,0,4.8
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Other,276,388,495,241,0,0,1159,386.3,79.3,-100,-100,-100,1314.3,1847.6,2357.1,0,1839.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Robbery,25,25,19,17,0,0,69,23,-24,-100,-100,-100,119,119,90.5,0,109.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Sexual Assault,3,5,9,3,0,0,17,5.7,200,-100,-100,-100,14.3,23.8,42.9,0,27.1
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Theft,763,751,821,460,0,0,2335,778.3,7.6,-100,-100,-100,3633.3,3576.2,3909.5,0,3706.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Arson,13,6,3,4,0,0,22,7.3,-76.9,-100,-100,-100,38.2,17.6,8.8,0,21.5
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Assault,976,1109,1147,574,0,0,3232,1077.3,17.5,-100,-100,-100,2870.6,3261.8,3373.5,0,3168.5
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Auto Theft,360,327,326,188,0,0,1013,337.7,-9.4,-100,-100,-100,1058.8,961.8,958.8,0,993.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Burglary,309,336,336,162,0,0,981,327,8.7,-100,-100,-100,908.8,988.2,988.2,0,961.8
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Drug Offenses,176,196,193,90,0,0,565,188.3,9.7,-100,-100,-100,517.6,576.5,567.6,0,553.8
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Kidnapping,1,4,5,8,0,0,10,3.3,400,-100,-100,-100,2.9,11.8,14.7,0,9.7
