beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Violent,246,225,219,206,178,9,179,896,224,-16.3,-27.2,-13.1,-20.1,3075,2812.5,2737.5,2575,2237.5,2800
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Other,538,758,1019,1040,1030,8,982,3355,838.8,93.3,82.5,-5.6,17.1,4890.9,6890.9,9263.6,9454.5,8927.3,7625.5
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Property,1063,1098,1464,1826,1777,45,1741,5451,1362.8,71.8,63.8,-4.7,27.8,9663.6,9981.8,13309.1,16600,15827.3,12389.1
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Violent,373,385,490,500,399,14,392,1748,437,34,5.1,-21.6,-10.3,3390.9,3500,4454.5,4545.5,3563.6,3972.7
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Other,846,1077,1315,1289,1228,30,1190,4527,1131.8,52.4,40.7,-7.7,5.1,7050,8975,10958.3,10741.7,9916.7,9431.7
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Property,778,668,597,540,656,81,716,2583,645.8,-30.6,-8,32.6,10.9,6483.3,5566.7,4975,4500,5966.7,5381.7
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Violent,761,817,711,690,628,41,652,2979,744.8,-9.3,-14.3,-5.5,-12.5,6341.7,6808.3,5925,5750,5433.3,6206.7
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Other,314,476,604,458,413,5,403,1852,463,45.9,28.3,-12,-13,4485.7,6800,8628.6,6542.9,5757.1,6614.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Property,265,291,279,315,287,18,294,1150,287.5,18.9,10.9,-6.7,2.3,3785.7,4157.1,3985.7,4500,4200,4107.1
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Violent,281,312,297,252,290,8,283,1142,285.5,-10.3,0.7,12.3,-0.9,4014.3,4457.1,4242.9,3600,4042.9,4078.6
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Other,430,678,821,690,698,26,694,2619,654.8,60.5,61.4,0.6,6,3909.1,6163.6,7463.6,6272.7,6309.1,5952.7
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Property,437,454,438,501,620,31,626,1830,457.5,14.6,43.2,25,36.8,3972.7,4127.3,3981.8,4554.5,5690.9,4159.1
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Violent,378,499,419,379,350,25,358,1675,418.8,0.3,-5.3,-5.5,-14.5,3436.4,4536.4,3809.1,3445.5,3254.5,3807.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Other,213,261,320,190,219,2,211,984,246,-10.8,-0.9,11.1,-14.2,2662.5,3262.5,4000,2375,2637.5,3075
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Property,207,168,193,216,189,16,196,784,196,4.3,-5.3,-9.3,0,2587.5,2100,2412.5,2700,2450,2450
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Violent,176,202,175,136,167,10,164,689,172.2,-22.7,-6.8,20.6,-4.8,2200,2525,2187.5,1700,2050,2152.5
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Other,431,647,653,487,530,23,520,2218,554.5,13,20.6,6.8,-6.2,5387.5,8087.5,8162.5,6087.5,6500,6931.2
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Property,389,330,340,303,341,27,355,1362,340.5,-22.1,-8.7,17.2,4.3,4862.5,4125,4250,3787.5,4437.5,4256.2
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Violent,443,475,430,339,398,22,399,1687,421.8,-23.5,-9.9,17.7,-5.4,5537.5,5937.5,5375,4237.5,4987.5,5272.5
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Other,689,1042,1095,846,957,36,941,3672,918,22.8,36.6,11.2,2.5,3626.3,5484.2,5763.2,4452.6,4952.6,4831.6
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Property,563,617,501,504,635,57,649,2185,546.2,-10.5,15.3,28.8,18.8,2963.2,3247.4,2636.8,2652.6,3415.8,2874.7
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Violent,639,713,545,518,534,32,546,2415,603.8,-18.9,-14.6,5.4,-9.6,3363.2,3752.6,2868.4,2726.3,2873.7,3177.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Other,180,346,342,273,274,2,260,1141,285.2,51.7,44.4,-4.8,-8.8,3000,5766.7,5700,4550,4333.3,4753.3
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Property,167,156,165,206,155,16,163,694,173.5,23.4,-2.4,-20.9,-6.1,2783.3,2600,2750,3433.3,2716.7,2891.7
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Violent,180,216,171,129,147,4,147,696,174,-28.3,-18.3,14,-15.5,3000,3600,2850,2150,2450,2900
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Other,407,685,784,674,613,22,603,2550,637.5,65.6,48.2,-10.5,-5.4,2543.8,4281.2,4900,4212.5,3768.8,3984.4
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Property,526,559,431,593,502,39,511,2109,527.2,12.7,-2.9,-13.8,-3.1,3287.5,3493.8,2693.8,3706.2,3193.8,3295
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Violent,402,447,348,362,322,23,329,1559,389.8,-10,-18.2,-9.1,-15.6,2512.5,2793.8,2175,2262.5,2056.2,2436.2
