beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Robbery,232,167,146,174,115,167,719,179.8,-25,-28,-4,-7.1,828.6,596.4,521.4,621.4,596.4,642.1,174
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Robbery,110,63,52,68,68,84,293,73.2,-38.2,-23.6,23.5,14.8,523.8,300,247.6,323.8,400,348.6,68
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Robbery,77,90,82,73,43,51,322,80.5,-5.2,-33.8,-30.1,-36.6,366.7,428.6,390.5,347.6,242.9,383.3,73
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Robbery,26,25,35,20,17,20,106,26.5,-23.1,-23.1,0,-24.5,288.9,277.8,388.9,222.2,222.2,294.4,20
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Robbery,58,75,64,53,34,45,250,62.5,-8.6,-22.4,-15.1,-28,241.7,312.5,266.7,220.8,187.5,260.4,53
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Robbery,52,57,55,44,29,40,208,52,-15.4,-23.1,-9.1,-23.1,288.9,316.7,305.6,244.4,222.2,288.9,44
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Robbery,75,79,73,64,48,74,291,72.8,-14.7,-1.3,15.6,1.6,220.6,232.4,214.7,188.2,217.6,214.1,64
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Robbery,147,118,163,100,66,100,528,132,-32,-32,0,-24.2,490,393.3,543.3,333.3,333.3,440,100
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Robbery,27,26,19,12,12,14,84,21,-55.6,-48.1,16.7,-33.3,180,173.3,126.7,80,93.3,140,12
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Robbery,92,86,56,88,68,97,322,80.5,-4.3,5.4,10.2,20.5,262.9,245.7,160,251.4,277.1,230,88
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Robbery,88,79,59,59,41,52,285,71.2,-33,-40.9,-11.9,-27,400,359.1,268.2,268.2,236.4,323.6,59
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Robbery,59,56,56,50,32,43,221,55.2,-15.3,-27.1,-14,-22.1,168.6,160,160,142.9,122.9,157.7,50
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Robbery,328,323,259,235,165,218,1145,286.2,-28.4,-33.5,-7.2,-23.8,643.1,633.3,507.8,460.8,427.5,561.2,235
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Robbery,112,110,84,78,51,72,384,96,-30.4,-35.7,-7.7,-25,414.8,407.4,311.1,288.9,266.7,355.6,78
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Robbery,112,105,92,95,55,78,404,101,-15.2,-30.4,-17.9,-22.8,533.3,500,438.1,452.4,371.4,481,95
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Robbery,207,177,173,154,104,127,711,177.8,-25.6,-38.6,-17.5,-28.6,450,384.8,376.1,334.8,276.1,386.5,154
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Robbery,12,11,10,4,6,7,37,9.2,-66.7,-41.7,75,-23.9,171.4,157.1,142.9,57.1,100,131.4,4
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Robbery,64,78,93,72,38,57,307,76.8,12.5,-10.9,-20.8,-25.8,266.7,325,387.5,300,237.5,320,72
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Robbery,211,194,186,194,131,174,785,196.2,-8.1,-17.5,-10.3,-11.3,586.1,538.9,516.7,538.9,483.3,545,194
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Robbery,149,192,167,145,106,150,653,163.2,-2.7,0.7,3.4,-8.1,425.7,548.6,477.1,414.3,428.6,466.3,145
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Robbery,135,143,155,154,82,119,587,146.8,14.1,-11.9,-22.7,-18.9,675,715,775,770,595,734,154
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Robbery,142,118,107,82,69,92,449,112.2,-42.3,-35.2,12.2,-18,507.1,421.4,382.1,292.9,328.6,400.7,82
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Robbery,257,295,246,265,164,213,1063,265.8,3.1,-17.1,-19.6,-19.9,829,951.6,793.5,854.8,687.1,857.4,265
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Robbery,97,83,97,48,36,50,325,81.2,-50.5,-48.5,4.2,-38.4,388,332,388,192,200,324.8,48
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Robbery,64,41,49,39,13,24,193,48.2,-39.1,-62.5,-38.5,-50.2,355.6,227.8,272.2,216.7,133.3,267.8,39
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Robbery,155,117,112,83,65,83,467,116.8,-46.5,-46.5,0,-28.9,418.9,316.2,302.7,224.3,224.3,315.7,83
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Robbery,120,129,101,99,54,80,449,112.2,-17.5,-33.3,-19.2,-28.7,666.7,716.7,561.1,550,444.4,623.3,99
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Robbery,200,236,204,165,90,127,805,201.2,-17.5,-36.5,-23,-36.9,689.7,813.8,703.4,569,437.9,693.8,165
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Robbery,48,36,26,34,19,21,144,36,-29.2,-56.2,-38.2,-41.7,266.7,200,144.4,188.9,116.7,200,34
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Robbery,120,132,94,105,63,88,451,112.8,-12.5,-26.7,-16.2,-22,461.5,507.7,361.5,403.8,338.5,433.8,105
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Robbery,82,76,73,76,52,74,307,76.8,-7.3,-9.8,-2.6,-3.6,292.9,271.4,260.7,271.4,264.3,274.3,76
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Robbery,51,48,51,43,34,47,193,48.2,-15.7,-7.8,9.3,-2.5,242.9,228.6,242.9,204.8,223.8,229.5,43
20G80,20,25.33626534,City Limits,37000,Robbery,77,92,72,47,38,53,288,72,-39,-31.2,12.8,-26.4,208.1,248.6,194.6,127,143.2,194.6,47
21I10,21,0.00549966,Intercontinental Airport,0,Robbery,0,0,1,0,0,0,1,0.2,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA,0
21I20,21,0.01205019,Intercontinental Airport,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I30,21,0.01180375,Intercontinental Airport,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I40,21,0.00923163,Intercontinental Airport,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I50,21,14.61100076,Intercontinental Airport,0,Robbery,3,3,2,1,1,1,9,2.2,-66.7,-66.7,0,-54.5,NA,NA,NA,NA,NA,NA,1
21I70,21,0.01945113,Intercontinental Airport,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Robbery,74,74,55,45,39,54,248,62,-39.2,-27,20,-12.9,925,925,687.5,562.5,675,775,45
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Robbery,152,184,139,103,62,97,578,144.5,-32.2,-36.2,-5.8,-32.9,361.9,438.1,331,245.2,231,344,103
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Robbery,63,62,58,52,54,70,235,58.8,-17.5,11.1,34.6,19,273.9,269.6,252.2,226.1,304.3,255.7,52
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Robbery,37,34,32,31,16,29,134,33.5,-16.2,-21.6,-6.5,-13.4,123.3,113.3,106.7,103.3,96.7,111.7,31
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Robbery,45,56,45,38,34,43,184,46,-15.6,-4.4,13.2,-6.5,160.7,200,160.7,135.7,153.6,164.3,38
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Robbery,33,35,32,26,18,22,126,31.5,-21.2,-33.3,-15.4,-30.2,143.5,152.2,139.1,113,95.7,137,26
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Robbery,26,34,28,18,11,18,106,26.5,-30.8,-30.8,0,-32.1,144.4,188.9,155.6,100,100,147.2,18
24C10,24,5.44044978,Kingwood,13000,Robbery,9,8,10,1,3,3,28,7,-88.9,-66.7,200,-57.1,69.2,61.5,76.9,7.7,23.1,53.8,1
24C20,24,6.8291794,Kingwood,18000,Robbery,5,2,5,0,2,2,12,3,-100,-60,NA,-33.3,27.8,11.1,27.8,0,11.1,16.7,0
24C30,24,9.78735527,Kingwood,29000,Robbery,2,5,4,5,4,6,16,4,150,200,20,50,6.9,17.2,13.8,17.2,20.7,13.8,5
24C40,24,35.7992771,Kingwood,6000,Robbery,2,4,6,2,2,3,14,3.5,0,50,50,-14.3,33.3,66.7,100,33.3,50,58.3,2
24C50,24,7.51791807,Kingwood,5000,Robbery,9,8,4,8,9,10,29,7.2,-11.1,11.1,25,38.9,180,160,80,160,200,144,8
24C60,24,4.86823328,Kingwood,21000,Robbery,3,5,0,3,0,0,11,2.8,0,-100,-100,-100,14.3,23.8,0,14.3,0,13.3,3
21I60,21,0.01236886,Intercontinental Airport,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
