beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Property,388,417,385,316,404,1190,396.7,-0.8,4.1,4.9,2,2984.6,3207.7,2961.5,3107.7,3051.5
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Property,1081,854,742,614,781,2677,892.3,-31.4,-27.8,5.3,-12,6358.8,5023.5,4364.7,4594.1,5248.8
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Property,1388,1194,974,907,1129,3556,1185.3,-29.8,-18.7,15.9,-5,4957.1,4264.3,3478.6,4032.1,4233.2
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Property,601,584,487,414,512,1672,557.3,-19,-14.8,5.1,-8,2861.9,2781,2319,2438.1,2653.8
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Property,574,560,496,420,544,1630,543.3,-13.6,-5.2,9.7,0,2733.3,2666.7,2361.9,2590.5,2587.1
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Property,328,274,272,242,308,874,291.3,-17.1,-6.1,13.2,6,3644.4,3044.4,3022.2,3422.2,3236.7
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Property,929,845,711,598,752,2485,828.3,-23.5,-19.1,5.8,-9,3870.8,3520.8,2962.5,3133.3,3451.2
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Property,488,560,498,363,477,1546,515.3,2,-2.3,-4.2,-7,2711.1,3111.1,2766.7,2650,2862.8
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Property,1380,1245,1059,915,1122,3684,1228,-23.3,-18.7,5.9,-9,4058.8,3661.8,3114.7,3300,3611.8
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Property,2240,1983,2046,2169,2687,6269,2089.7,-8.7,20,31.3,29,7466.7,6610,6820,8956.7,6965.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Property,450,352,330,305,404,1132,377.3,-26.7,-10.2,22.4,7,3000,2346.7,2200,2693.3,2515.3
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Property,826,687,775,646,834,2288,762.7,-6.2,1,7.6,9,2360,1962.9,2214.3,2382.9,2179.1
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Property,629,675,606,449,558,1910,636.7,-3.7,-11.3,-7.9,-12,2859.1,3068.2,2754.5,2536.4,2894.1
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Property,663,591,644,459,595,1898,632.7,-2.9,-10.3,-7.6,-6,1894.3,1688.6,1840,1700,1807.7
