beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Assault,688,679,744,587,260,565,2698,674.5,-14.7,-17.9,-3.7,-16.2,3822.2,3772.2,4133.3,3261.1,3138.9,3747.2,587
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Assault,758,974,941,895,368,801,3568,892,18.1,5.7,-10.5,-10.2,2613.8,3358.6,3244.8,3086.2,2762.1,3075.9,895
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Assault,301,346,358,341,171,343,1346,336.5,13.3,14,0.6,1.9,1672.2,1922.2,1988.9,1894.4,1905.6,1869.4,341
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Assault,862,979,970,941,333,777,3752,938,9.2,-9.9,-17.4,-17.2,3315.4,3765.4,3730.8,3619.2,2988.5,3607.7,941
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Assault,616,623,753,762,285,661,2754,688.5,23.7,7.3,-13.3,-4,2200,2225,2689.3,2721.4,2360.7,2458.9,762
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Assault,505,619,611,586,299,591,2321,580.2,16,17,0.9,1.9,2404.8,2947.6,2909.5,2790.5,2814.3,2762.9,586
20G80,20,25.33626534,City Limits,37000,Assault,525,657,749,742,349,720,2673,668.2,41.3,37.1,-3,7.8,1418.9,1775.7,2024.3,2005.4,1945.9,1805.9,742
21I10,21,0.00549966,Intercontinental Airport,0,Assault,30,25,34,44,28,50,133,33.2,46.7,66.7,13.6,50.6,NA,NA,NA,NA,NA,NA,44
21I20,21,0.01205019,Intercontinental Airport,0,Assault,1,0,0,2,0,1,3,0.8,100,0,-50,25,NA,NA,NA,NA,NA,NA,2
21I30,21,0.01180375,Intercontinental Airport,0,Assault,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I40,21,0.00923163,Intercontinental Airport,0,Assault,6,2,3,11,8,14,22,5.5,83.3,133.3,27.3,154.5,NA,NA,NA,NA,NA,NA,11
21I50,21,14.61100076,Intercontinental Airport,0,Assault,95,76,83,122,43,105,376,94,28.4,10.5,-13.9,11.7,NA,NA,NA,NA,NA,NA,122
21I70,21,0.01945113,Intercontinental Airport,0,Assault,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Assault,382,432,522,494,175,435,1830,457.5,29.3,13.9,-11.9,-4.9,4775,5400,6525,6175,5437.5,5718.8,494
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Assault,760,896,936,855,477,963,3447,861.8,12.5,26.7,12.6,11.7,1809.5,2133.3,2228.6,2035.7,2292.9,2051.9,855
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Assault,439,468,471,529,271,546,1907,476.8,20.5,24.4,3.2,14.5,1908.7,2034.8,2047.8,2300,2373.9,2073,529
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Assault,212,262,262,263,110,247,999,249.8,24.1,16.5,-6.1,-1.1,706.7,873.3,873.3,876.7,823.3,832.7,263
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Assault,454,429,465,511,251,508,1859,464.8,12.6,11.9,-0.6,9.3,1621.4,1532.1,1660.7,1825,1814.3,1660,511
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Assault,290,382,421,340,164,329,1433,358.2,17.2,13.4,-3.2,-8.2,1260.9,1660.9,1830.4,1478.3,1430.4,1557.4,340
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Assault,312,378,413,358,206,402,1461,365.2,14.7,28.8,12.3,10.1,1733.3,2100,2294.4,1988.9,2233.3,2028.9,358
24C10,24,5.44044978,Kingwood,13000,Assault,130,166,160,140,52,120,596,149,7.7,-7.7,-14.3,-19.5,1000,1276.9,1230.8,1076.9,923.1,1146.2,140
24C20,24,6.8291794,Kingwood,18000,Assault,112,166,166,163,67,151,607,151.8,45.5,34.8,-7.4,-0.5,622.2,922.2,922.2,905.6,838.9,843.3,163
24C30,24,9.78735527,Kingwood,29000,Assault,137,157,173,172,91,186,639,159.8,25.5,35.8,8.1,16.4,472.4,541.4,596.6,593.1,641.4,551,172
24C40,24,35.7992771,Kingwood,6000,Assault,77,93,98,97,40,94,365,91.2,26,22.1,-3.1,3.1,1283.3,1550,1633.3,1616.7,1566.7,1520,97
24C50,24,7.51791807,Kingwood,5000,Assault,86,116,124,135,69,128,461,115.2,57,48.8,-5.2,11.1,1720,2320,2480,2700,2560,2304,135
24C60,24,4.86823328,Kingwood,21000,Assault,77,60,72,26,13,20,235,58.8,-66.2,-74,-23.1,-66,366.7,285.7,342.9,123.8,95.2,280,26
21I60,21,0.01236886,Intercontinental Airport,0,Assault,9,3,6,8,2,3,26,6.5,-11.1,-66.7,-62.5,-53.8,NA,NA,NA,NA,NA,NA,8
