beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Burglary,102,74,75,71,91,9,71,311,77.8,23,-4.1,-22,-8.7,680,493.3,500,473.3,606.7,473.3,518.7,91
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Burglary,34,22,17,18,20,2,17,77,19.2,-9.1,-22.7,-15,-11.5,425,275,212.5,225,250,212.5,240,20
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Burglary,42,37,45,50,59,10,52,191,47.8,59.5,40.5,-11.9,8.8,525,462.5,562.5,625,737.5,650,597.5,59
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Burglary,289,285,289,324,193,31,183,1091,272.8,-32.3,-35.8,-5.2,-32.9,656.8,647.7,656.8,736.4,438.6,415.9,620,193
12D20,12,3.83700574,Sagemont,22000,Burglary,131,131,170,158,84,16,77,543,135.8,-35.9,-41.2,-8.3,-43.3,595.5,595.5,772.7,718.2,381.8,350,617.3,84
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Burglary,62,79,48,59,62,11,59,248,62,-21.5,-25.3,-4.8,-4.8,413.3,526.7,320,393.3,413.3,393.3,413.3,62
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Burglary,75,68,79,91,54,5,42,292,73,-20.6,-38.2,-22.2,-42.5,681.8,618.2,718.2,827.3,490.9,381.8,663.6,54
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Burglary,41,32,32,42,38,5,35,144,36,18.8,9.4,-7.9,-2.8,157.7,123.1,123.1,161.5,146.2,134.6,138.5,38
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Burglary,76,62,85,33,75,8,70,255,63.8,21,12.9,-6.7,9.7,345.5,281.8,386.4,150,340.9,318.2,290,75
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Burglary,82,90,96,112,86,25,93,384,96,-4.4,3.3,8.1,-3.1,683.3,750,800,933.3,716.7,775,800,86
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Burglary,166,171,116,115,96,35,100,498,124.5,-43.9,-41.5,4.2,-19.7,721.7,743.5,504.3,500,417.4,434.8,541.3,96
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Burglary,328,256,243,277,251,36,221,1027,256.8,-2,-13.7,-12,-13.9,911.1,711.1,675,769.4,697.2,613.9,713.3,251
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Burglary,12,10,13,12,13,1,11,48,12,30,10,-15.4,-8.3,600,500,650,600,650,550,600,13
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Burglary,66,77,35,72,47,4,32,231,57.8,-39,-58.4,-31.9,-44.6,507.7,592.3,269.2,553.8,361.5,246.2,444.6,47
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Burglary,242,205,126,177,169,30,142,677,169.2,-17.6,-30.7,-16,-16.1,1423.5,1205.9,741.2,1041.2,994.1,835.3,995.3,169
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Burglary,409,291,285,268,266,36,233,1110,277.5,-8.6,-19.9,-12.4,-16,1460.7,1039.3,1017.9,957.1,950,832.1,991.1,266
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Burglary,184,155,126,157,156,18,130,594,148.5,0.6,-16.1,-16.7,-12.5,876.2,738.1,600,747.6,742.9,619,707.1,156
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Burglary,115,116,87,103,144,25,141,450,112.5,24.1,21.6,-2.1,25.3,547.6,552.4,414.3,490.5,685.7,671.4,535.7,144
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Burglary,91,58,59,46,42,13,46,205,51.2,-27.6,-20.7,9.5,-10.2,1011.1,644.4,655.6,511.1,466.7,511.1,568.9,42
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Burglary,201,102,122,125,108,25,108,457,114.2,5.9,5.9,0,-5.4,837.5,425,508.3,520.8,450,450,475.8,108
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Burglary,102,69,91,49,44,9,42,253,63.2,-36.2,-39.1,-4.5,-33.5,566.7,383.3,505.6,272.2,244.4,233.3,351.1,44
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Burglary,269,210,165,149,157,27,156,681,170.2,-25.2,-25.7,-0.6,-8.3,791.2,617.6,485.3,438.2,461.8,458.8,500.6,157
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Burglary,350,288,248,369,350,63,320,1255,313.8,21.5,11.1,-8.6,2,1166.7,960,826.7,1230,1166.7,1066.7,1046,350
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Burglary,85,49,34,40,44,12,40,167,41.8,-10.2,-18.4,-9.1,-4.3,566.7,326.7,226.7,266.7,293.3,266.7,278.7,44
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Burglary,114,114,111,116,142,29,119,483,120.8,24.6,4.4,-16.2,-1.5,325.7,325.7,317.1,331.4,405.7,340,345.1,142
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Burglary,93,95,90,63,91,25,98,339,84.8,-4.2,3.2,7.7,15.6,422.7,431.8,409.1,286.4,413.6,445.5,385.5,91
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Burglary,130,105,92,73,68,22,73,338,84.5,-35.2,-30.5,7.4,-13.6,371.4,300,262.9,208.6,194.3,208.6,241.4,68
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Burglary,317,244,290,362,329,63,279,1225,306.2,34.8,14.3,-15.2,-8.9,621.6,478.4,568.6,709.8,645.1,547.1,600.4,329
