beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Sexual Assault,5,8,10,8,10,3,10,31,7.8,60,100,25,28.2,20.8,33.3,41.7,33.3,41.7,32.5,8
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Sexual Assault,8,16,3,4,3,2,4,31,7.8,-50,-50,0,-48.7,44.4,88.9,16.7,22.2,22.2,43.3,4
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Sexual Assault,17,9,16,13,13,0,8,55,13.8,-23.5,-52.9,-38.5,-42,50,26.5,47.1,38.2,23.5,40.6,13
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Sexual Assault,22,15,23,22,34,7,29,82,20.5,0,31.8,31.8,41.5,73.3,50,76.7,73.3,96.7,68.3,22
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Sexual Assault,9,6,4,2,12,1,10,21,5.2,-77.8,11.1,400,92.3,60,40,26.7,13.3,66.7,34.7,2
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Sexual Assault,13,16,23,14,27,5,25,66,16.5,7.7,92.3,78.6,51.5,37.1,45.7,65.7,40,71.4,47.1,14
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Sexual Assault,17,12,16,17,10,4,12,62,15.5,0,-29.4,-29.4,-22.6,77.3,54.5,72.7,77.3,54.5,70.5,17
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Sexual Assault,15,21,11,11,19,2,16,58,14.5,-26.7,6.7,45.5,10.3,42.9,60,31.4,31.4,45.7,41.4,11
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Sexual Assault,54,39,44,42,35,5,33,179,44.8,-22.2,-38.9,-21.4,-26.3,105.9,76.5,86.3,82.4,64.7,87.8,42
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Sexual Assault,37,19,38,26,23,5,20,120,30,-29.7,-45.9,-23.1,-33.3,137,70.4,140.7,96.3,74.1,111.1,26
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Sexual Assault,17,30,24,13,31,6,30,84,21,-23.5,76.5,130.8,42.9,81,142.9,114.3,61.9,142.9,100,13
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Sexual Assault,46,39,34,30,44,7,38,149,37.2,-34.8,-17.4,26.7,2.2,100,84.8,73.9,65.2,82.6,80.9,30
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Sexual Assault,6,4,2,3,3,1,4,15,3.8,-50,-33.3,33.3,5.3,85.7,57.1,28.6,42.9,57.1,54.3,3
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Sexual Assault,13,25,27,21,22,1,19,86,21.5,61.5,46.2,-9.5,-11.6,54.2,104.2,112.5,87.5,79.2,89.6,21
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Sexual Assault,20,27,33,34,25,8,26,114,28.5,70,30,-23.5,-8.8,55.6,75,91.7,94.4,72.2,79.2,34
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Sexual Assault,28,22,21,22,28,5,24,93,23.2,-21.4,-14.3,9.1,3.4,80,62.9,60,62.9,68.6,66.3,22
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Sexual Assault,33,17,20,33,25,1,20,103,25.8,0,-39.4,-39.4,-22.5,165,85,100,165,100,129,33
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Sexual Assault,27,13,17,9,7,3,7,66,16.5,-66.7,-74.1,-22.2,-57.6,96.4,46.4,60.7,32.1,25,58.9,9
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Sexual Assault,41,39,32,24,34,10,35,136,34,-41.5,-14.6,45.8,2.9,132.3,125.8,103.2,77.4,112.9,109.7,24
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Sexual Assault,14,22,10,12,14,1,11,58,14.5,-14.3,-21.4,-8.3,-24.1,56,88,40,48,44,58,12
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Sexual Assault,10,12,5,4,7,0,5,31,7.8,-60,-50,25,-35.9,55.6,66.7,27.8,22.2,27.8,43.3,4
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Sexual Assault,34,18,27,15,26,2,19,94,23.5,-55.9,-44.1,26.7,-19.1,91.9,48.6,73,40.5,51.4,63.5,15
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Sexual Assault,30,32,18,15,15,3,11,95,23.8,-50,-63.3,-26.7,-53.8,166.7,177.8,100,83.3,61.1,132.2,15
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Sexual Assault,22,20,24,20,20,4,21,86,21.5,-9.1,-4.5,5,-2.3,75.9,69,82.8,69,72.4,74.1,20
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Sexual Assault,3,14,6,7,8,0,8,30,7.5,133.3,166.7,14.3,6.7,16.7,77.8,33.3,38.9,44.4,41.7,7
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Sexual Assault,13,32,31,30,25,6,23,106,26.5,130.8,76.9,-23.3,-13.2,50,123.1,119.2,115.4,88.5,101.9,30
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Sexual Assault,26,14,15,27,14,2,14,82,20.5,3.8,-46.2,-48.1,-31.7,92.9,50,53.6,96.4,50,73.2,27
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Sexual Assault,15,17,12,20,11,4,14,64,16,33.3,-6.7,-30,-12.5,71.4,81,57.1,95.2,66.7,76.2,20
20G80,20,25.33626534,City Limits,37000,Sexual Assault,17,14,18,18,17,0,11,67,16.8,5.9,-35.3,-38.9,-34.5,45.9,37.8,48.6,48.6,29.7,45.4,18
21I10,21,0.00549966,Intercontinental Airport,0,Sexual Assault,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I20,21,0.01205019,Intercontinental Airport,0,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I30,21,0.01180375,Intercontinental Airport,0,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I40,21,0.00923163,Intercontinental Airport,0,Sexual Assault,0,0,0,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I50,21,14.61100076,Intercontinental Airport,0,Sexual Assault,2,0,3,1,2,1,2,6,1.5,-50,0,100,33.3,NA,NA,NA,NA,NA,NA,1
21I70,21,0.01945113,Intercontinental Airport,0,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Sexual Assault,11,14,8,12,5,0,5,45,11.2,9.1,-54.5,-58.3,-55.4,137.5,175,100,150,62.5,140,12
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Sexual Assault,31,25,31,19,30,7,26,106,26.5,-38.7,-16.1,36.8,-1.9,73.8,59.5,73.8,45.2,61.9,63.1,19
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Sexual Assault,21,11,18,22,15,2,11,72,18,4.8,-47.6,-50,-38.9,91.3,47.8,78.3,95.7,47.8,78.3,22
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Sexual Assault,12,10,13,15,13,3,13,50,12.5,25,8.3,-13.3,4,40,33.3,43.3,50,43.3,41.7,15
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Sexual Assault,22,23,11,14,15,6,19,70,17.5,-36.4,-13.6,35.7,8.6,78.6,82.1,39.3,50,67.9,62.5,14
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Sexual Assault,10,16,7,8,10,0,8,41,10.2,-20,-20,0,-21.6,43.5,69.6,30.4,34.8,34.8,44.3,8
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Sexual Assault,19,17,11,14,19,0,14,61,15.2,-26.3,-26.3,0,-7.9,105.6,94.4,61.1,77.8,77.8,84.4,14
24C10,24,5.44044978,Kingwood,13000,Sexual Assault,6,10,5,5,2,0,1,26,6.5,-16.7,-83.3,-80,-84.6,46.2,76.9,38.5,38.5,7.7,50,5
24C20,24,6.8291794,Kingwood,18000,Sexual Assault,6,4,7,2,5,1,5,19,4.8,-66.7,-16.7,150,4.2,33.3,22.2,38.9,11.1,27.8,26.7,2
24C30,24,9.78735527,Kingwood,29000,Sexual Assault,5,3,8,5,3,1,2,21,5.2,0,-60,-60,-61.5,17.2,10.3,27.6,17.2,6.9,17.9,5
24C40,24,35.7992771,Kingwood,6000,Sexual Assault,6,1,1,1,1,2,3,9,2.2,-83.3,-50,200,36.4,100,16.7,16.7,16.7,50,36.7,1
24C50,24,7.51791807,Kingwood,5000,Sexual Assault,2,0,5,6,11,1,11,13,3.2,200,450,83.3,243.8,40,0,100,120,220,64,6
24C60,24,4.86823328,Kingwood,21000,Sexual Assault,2,3,5,1,2,1,3,11,2.8,-50,50,200,7.1,9.5,14.3,23.8,4.8,14.3,13.3,1
21I60,21,0.01236886,Intercontinental Airport,0,Sexual Assault,1,0,1,0,0,0,0,2,0.5,-100,-100,NA,-100,NA,NA,NA,NA,NA,NA,0
