beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Theft,1036,975,862,1105,931,239,959,3873,968.2,-4.5,-1.6,3,-1,6475,6093.8,5387.5,6906.2,5818.8,5993.8,6051.2,931
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Theft,700,515,501,517,544,130,546,2077,519.2,5.6,6,0.4,5.2,3684.2,2710.5,2636.8,2721.1,2863.2,2873.7,2732.6,544
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Theft,686,727,585,641,706,136,675,2659,664.8,-2.9,-7.2,-4.4,1.5,2450,2596.4,2089.3,2289.3,2521.4,2410.7,2374.3,706
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Theft,243,272,261,239,231,53,222,1003,250.8,-15.1,-18.4,-3.9,-11.5,1350,1511.1,1450,1327.8,1283.3,1233.3,1393.3,231
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Theft,396,509,293,342,378,80,359,1522,380.5,-25.7,-29.5,-5,-5.7,2640,3393.3,1953.3,2280,2520,2393.3,2536.7,378
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Theft,98,130,102,88,72,18,76,392,98,-44.6,-41.5,5.6,-22.4,1225,1625,1275,1100,900,950,1225,72
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Theft,175,195,208,211,241,41,220,855,213.8,23.6,12.8,-8.7,2.9,2187.5,2437.5,2600,2637.5,3012.5,2750,2672.5,241
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Theft,1182,1300,1224,1351,1359,280,1330,5234,1308.5,4.5,2.3,-2.1,1.6,2686.4,2954.5,2781.8,3070.5,3088.6,3022.7,2973.9,1359
12D20,12,3.83700574,Sagemont,22000,Theft,551,540,495,569,483,72,414,2087,521.8,-10.6,-23.3,-14.3,-20.7,2504.5,2454.5,2250,2586.4,2195.5,1881.8,2371.8,483
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Theft,245,245,222,271,232,23,182,970,242.5,-5.3,-25.7,-21.6,-24.9,1633.3,1633.3,1480,1806.7,1546.7,1213.3,1616.7,232
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Theft,171,197,170,200,171,47,158,738,184.5,-13.2,-19.8,-7.6,-14.4,1554.5,1790.9,1545.5,1818.2,1554.5,1436.4,1677.3,171
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Theft,177,136,120,110,110,29,113,476,119,-19.1,-16.9,2.7,-5,680.8,523.1,461.5,423.1,423.1,434.6,457.7,110
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Theft,237,265,234,229,176,22,142,904,226,-33.6,-46.4,-19.3,-37.2,1077.3,1204.5,1063.6,1040.9,800,645.5,1027.3,176
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Theft,934,863,901,873,817,162,740,3454,863.5,-5.3,-14.3,-9.4,-14.3,7783.3,7191.7,7508.3,7275,6808.3,6166.7,7195.8,817
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Theft,572,615,614,625,594,129,553,2448,612,-3.4,-10.1,-6.9,-9.6,2487,2673.9,2669.6,2717.4,2582.6,2404.3,2660.9,594
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Theft,937,872,878,887,953,193,920,3590,897.5,9.3,5.5,-3.5,2.5,2602.8,2422.2,2438.9,2463.9,2647.2,2555.6,2493.1,953
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Theft,52,71,59,58,43,9,39,231,57.8,-39.4,-45.1,-9.3,-32.5,2600,3550,2950,2900,2150,1950,2890,43
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Theft,253,249,252,235,213,37,199,949,237.2,-14.5,-20.1,-6.6,-16.1,1946.2,1915.4,1938.5,1807.7,1638.5,1530.8,1824.6,213
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Theft,708,543,501,495,518,138,513,2057,514.2,-4.6,-5.5,-1,-0.2,4164.7,3194.1,2947.1,2911.8,3047.1,3017.6,3024.7,518
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Theft,802,731,547,720,714,170,726,2712,678,-2.3,-0.7,1.7,7.1,2864.3,2610.7,1953.6,2571.4,2550,2592.9,2421.4,714
