beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Assault,396,374,481,441,501,36,495,1692,423,11.4,25,12.2,17,1365.5,1289.7,1658.6,1520.7,1706.9,1458.6
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Auto Theft,126,158,212,279,332,40,348,775,193.8,121.4,176.2,24.7,79.6,434.5,544.8,731,962.1,1200,668.3
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Burglary,214,130,150,135,105,28,123,629,157.2,-36.9,-42.5,-8.9,-21.8,737.9,448.3,517.2,465.5,424.1,542.1
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Drug Offenses,63,40,52,60,42,0,37,215,53.8,-4.8,-41.3,-38.3,-31.2,217.2,137.9,179.3,206.9,127.6,185.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Kidnapping,3,1,3,2,1,0,0,9,2.2,-33.3,-100,-100,-100,10.3,3.4,10.3,6.9,0,7.6
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Murder,1,0,5,2,0,0,0,8,2,100,-100,-100,-100,3.4,0,17.2,6.9,0,6.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Other,417,722,925,995,984,45,947,3059,764.8,138.6,127.1,-4.8,23.8,1437.9,2489.7,3189.7,3431,3265.5,2637.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Robbery,40,33,55,49,39,6,39,177,44.2,22.5,-2.5,-20.4,-11.8,137.9,113.8,189.7,169,134.5,152.4
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Sexual Assault,15,14,15,15,13,2,15,59,14.8,0,0,0,1.4,51.7,48.3,51.7,51.7,51.7,51
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Theft,1711,1391,1326,1427,1643,128,1658,5855,1463.8,-16.6,-3.1,16.2,13.3,5900,4796.6,4572.4,4920.7,5717.2,5047.6
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Arson,3,10,2,2,3,0,1,17,4.2,-33.3,-66.7,-50,-76.2,14.3,47.6,9.5,9.5,4.8,20
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Assault,245,250,328,347,311,50,349,1170,292.5,41.6,42.4,0.6,19.3,1166.7,1190.5,1561.9,1652.4,1661.9,1392.9
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Auto Theft,157,223,195,193,238,35,258,768,192,22.9,64.3,33.7,34.4,747.6,1061.9,928.6,919,1228.6,914.3
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Burglary,139,133,134,147,94,12,97,553,138.2,5.8,-30.2,-34,-29.8,661.9,633.3,638.1,700,461.9,658.1
