agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
Grimes County,County Total,0,12,4,21,124,164,40,365,28406,NA,2019,Grimes
Guadalupe County,County Total,3,74,31,160,320,1533,121,2242,152024,NA,2019,Guadalupe
Hale County,County Total,0,5,4,55,157,421,32,674,32021,NA,2019,Hale
Hall County,County Total,1,0,1,2,9,9,0,22,2841,NA,2019,Hall
Hamilton County,County Total,0,5,0,9,16,30,4,64,7043,NA,2019,Hamilton
Hansford County,County Total,0,1,0,4,7,6,6,24,5412,NA,2019,Hansford
Hardeman County,County Total,0,0,0,5,6,11,1,23,3870,NA,2019,Hardeman
Hardin County,County Total,3,7,7,77,129,336,79,638,57156,NA,2019,Hardin
Harris County,County Total,398,2651,11943,20016,26077,113197,20852,195134,4776485,NA,2019,Harris
Harrison County,County Total,6,4,20,152,352,837,112,1483,64461,NA,2019,Harrison
Hartley County,County Total,0,0,0,0,3,3,4,10,2867,NA,2019,Hartley
Haskell County,County Total,0,1,0,8,12,21,9,51,5734,NA,2019,Haskell
Hays County,County Total,9,141,58,251,476,2555,262,3752,230891,NA,2019,Hays
Hemphill County,County Total,0,3,0,2,1,12,0,18,3807,NA,2019,Hemphill
Henderson County,County Total,2,72,14,123,412,526,128,1277,79754,NA,2019,Henderson
Hidalgo County,County Total,21,447,336,1538,2525,15824,757,21448,863062,NA,2019,Hidalgo
Hill County,County Total,1,12,4,40,85,432,47,621,34877,NA,2019,Hill
Hockley County,County Total,2,28,10,121,142,320,30,653,22852,NA,2019,Hockley
Hood County,County Total,2,15,8,57,133,593,73,881,60425,NA,2019,Hood
Hopkins County,County Total,1,15,7,37,36,144,49,289,36783,NA,2019,Hopkins
Houston County,County Total,1,2,0,35,72,158,12,280,22962,NA,2019,Houston
Howard County,County Total,3,15,22,167,227,911,189,1534,36420,NA,2019,Howard
Hudspeth County,County Total,0,0,0,8,3,9,2,22,4972,NA,2019,Hudspeth
Hunt County,County Total,7,40,38,399,308,978,169,1939,91540,NA,2019,Hunt
Hutchinson County,County Total,0,18,4,32,103,253,25,435,19155,NA,2019,Hutchinson
Irion County,County Total,0,2,0,4,3,22,2,33,1502,NA,2019,Irion
Jack County,County Total,0,2,2,11,25,34,11,85,8768,NA,2019,Jack
Jackson County,County Total,1,4,2,9,29,92,13,150,14881,NA,2019,Jackson
Jasper County,County Total,3,18,2,84,241,469,78,895,35659,NA,2019,Jasper
Jeff Davis County,County Total,0,2,0,2,4,6,1,15,2227,NA,2019,Jeff Davis
Jefferson County,County Total,30,149,428,1196,1480,4578,591,8452,253726,NA,2019,Jefferson
Jim Hogg County,County Total,0,0,0,5,10,7,3,25,5210,NA,2019,Jim Hogg
Jim Wells County,County Total,0,11,11,188,362,778,51,1401,38341,NA,2019,Jim Wells
Johnson County,County Total,1,105,38,322,436,1502,238,2642,181033,NA,2019,Johnson
Jones County,County Total,0,2,1,9,46,79,8,145,14032,NA,2019,Jones
Karnes County,County Total,1,2,2,50,99,158,29,341,15650,NA,2019,Karnes
Kaufman County,County Total,4,53,32,144,414,1289,227,2163,131039,NA,2019,Kaufman
Kendall County,County Total,0,8,4,32,48,353,49,494,44724,NA,2019,Kendall
Kenedy County,County Total,0,0,0,0,2,3,3,8,442,NA,2019,Kenedy
Kent County,County Total,0,0,0,4,2,3,0,9,711,NA,2019,Kent
Kerr County,County Total,2,31,1,71,81,417,35,638,52432,NA,2019,Kerr
Kimble County,County Total,0,2,1,8,7,3,3,24,4306,NA,2019,Kimble
Kinney County,County Total,0,0,0,0,1,0,0,1,2007,NA,2019,Kinney
Kleberg County,County Total,3,31,14,101,209,612,28,998,30823,NA,2019,Kleberg
Knox County,County Total,0,2,0,1,24,14,5,46,3622,NA,2019,Knox
Lamar County,County Total,1,41,21,228,222,608,70,1191,49404,NA,2019,Lamar
Lamb County,County Total,0,9,4,30,72,134,17,266,12975,NA,2019,Lamb
Lampasas County,County Total,1,4,1,20,40,234,13,313,18657,NA,2019,Lampasas
La Salle County,County Total,0,0,1,5,7,37,0,50,7565,NA,2019,La Salle
Lavaca County,County Total,2,7,3,31,91,107,9,250,22191,NA,2019,Lavaca
Lee County,County Total,0,9,3,39,29,147,15,242,15906,NA,2019,Lee
Leon County,County Total,0,0,0,11,144,80,11,246,15395,NA,2019,Leon
Liberty County,County Total,2,54,16,159,382,1038,198,1849,87220,NA,2019,Liberty
Limestone County,County Total,0,6,2,29,83,104,10,234,23373,NA,2019,Limestone
Lipscomb County,County Total,0,0,0,0,2,2,0,4,3344,NA,2019,Lipscomb
Live Oak County,County Total,0,1,1,3,1,9,2,17,4531,NA,2019,Live Oak
Llano County,County Total,1,3,0,26,41,98,16,185,18627,NA,2019,Llano
Loving County,County Total,0,0,0,1,3,16,3,23,164,NA,2019,Loving
Lubbock County,County Total,13,292,470,1908,2560,8961,1314,15518,306337,NA,2019,Lubbock
Lynn County,County Total,0,0,0,1,8,8,5,22,5951,NA,2019,Lynn
McCulloch County,County Total,0,1,0,11,38,43,8,101,7907,NA,2019,McCulloch
McLennan County,County Total,14,161,157,749,1085,4971,551,7688,253474,NA,2019,McLennan
McMullen County,County Total,0,0,0,0,1,10,1,12,749,NA,2019,McMullen
Madison County,County Total,0,1,4,22,40,35,21,123,14336,NA,2019,Madison
Marion County,County Total,0,0,5,17,40,37,10,109,9798,NA,2019,Marion
Martin County,County Total,0,2,1,6,13,63,10,95,5848,NA,2019,Martin
Mason County,County Total,0,1,0,7,4,5,1,18,4288,NA,2019,Mason
Matagorda County,County Total,0,39,12,116,250,839,53,1309,36303,NA,2019,Matagorda
Maverick County,County Total,1,4,7,39,270,705,73,1099,58640,NA,2019,Maverick
Medina County,County Total,2,23,8,122,139,445,101,840,49360,NA,2019,Medina
Menard County,County Total,0,0,1,2,1,0,0,4,2115,NA,2019,Menard
Midland County,County Total,4,37,23,283,236,1838,392,2813,174343,NA,2019,Midland
Milam County,County Total,2,5,2,32,65,194,34,334,25033,NA,2019,Milam
Mills County,County Total,0,1,0,14,12,9,0,36,4884,NA,2019,Mills
Mitchell County,County Total,0,0,2,12,45,96,14,169,7950,NA,2019,Mitchell
Montague County,County Total,0,7,3,54,107,131,9,311,18444,NA,2019,Montague
Montgomery County,County Total,14,147,169,811,1539,5733,779,9192,598274,NA,2019,Montgomery
Moore County,County Total,2,11,2,34,62,223,50,384,21287,NA,2019,Moore
Morris County,County Total,0,4,5,22,37,103,12,183,12185,NA,2019,Morris
Motley County,County Total,0,1,0,0,1,2,0,4,1230,NA,2019,Motley
Nacogdoches County,County Total,4,26,28,119,249,832,97,1355,65428,NA,2019,Nacogdoches
Navarro County,County Total,2,63,20,155,199,715,71,1225,49469,NA,2019,Navarro
Newton County,County Total,0,4,1,23,64,59,13,164,13575,NA,2019,Newton
Nolan County,County Total,0,2,4,29,124,169,18,346,13321,NA,2019,Nolan
Nueces County,County Total,33,301,515,2129,2151,9180,946,15255,362810,NA,2019,Nueces
Ochiltree County,County Total,0,2,0,9,31,86,9,137,9860,NA,2019,Ochiltree
Oldham County,County Total,0,0,0,0,4,2,0,6,2128,NA,2019,Oldham
Orange County,County Total,1,29,27,162,369,820,162,1570,82765,NA,2019,Orange
Palo Pinto County,County Total,1,12,4,22,176,318,43,576,28960,NA,2019,Palo Pinto
Panola County,County Total,3,13,5,52,99,321,34,527,22672,NA,2019,Panola
Parker County,County Total,3,53,14,117,273,1020,147,1627,137932,NA,2019,Parker
Parmer County,County Total,0,1,1,7,17,27,10,63,9753,NA,2019,Parmer
Pecos County,County Total,0,3,1,24,41,103,26,198,15594,NA,2019,Pecos
Polk County,County Total,6,43,9,55,260,667,133,1173,50320,NA,2019,Polk
Potter County,County Total,16,173,252,1054,1488,5578,1019,9580,215737,NA,2019,Potter
Presidio County,County Total,0,2,0,4,2,6,0,14,6798,NA,2019,Presidio
Rains County,County Total,0,0,0,10,22,31,7,70,12246,NA,2019,Rains
Randall County,County Total,0,30,6,41,132,265,41,515,40294,NA,2019,Randall
Reagan County,County Total,0,0,0,7,11,18,3,39,3769,NA,2019,Reagan
Real County,County Total,0,0,0,3,15,39,5,62,3477,NA,2019,Real
Red River County,County Total,0,2,2,27,45,49,12,137,12014,NA,2019,Red River
Reeves County,County Total,3,6,3,89,48,192,56,397,15845,NA,2019,Reeves
Refugio County,County Total,0,2,0,7,36,34,7,86,6947,NA,2019,Refugio
Roberts County,County Total,0,0,0,0,1,1,0,2,895,NA,2019,Roberts
Robertson County,County Total,1,1,3,25,95,170,34,329,17269,NA,2019,Robertson
Rockwall County,County Total,2,36,10,56,124,885,114,1227,95741,NA,2019,Rockwall
Runnels County,County Total,0,1,2,16,39,38,3,99,10136,NA,2019,Runnels
Rusk County,County Total,5,18,5,86,231,695,86,1126,51119,NA,2019,Rusk
Sabine County,County Total,0,5,0,8,42,25,10,90,10489,NA,2019,Sabine
San Augustine County,County Total,0,1,0,12,34,16,7,70,8107,NA,2019,San Augustine
San Jacinto County,County Total,0,26,1,17,115,173,42,374,28832,NA,2019,San Jacinto
San Patricio County,County Total,2,30,15,113,218,703,92,1173,58891,NA,2019,San Patricio
San Saba County,County Total,0,2,0,11,30,39,7,89,6006,NA,2019,San Saba
Schleicher County,County Total,0,0,0,4,6,6,1,17,2809,NA,2019,Schleicher
Scurry County,County Total,0,9,2,155,88,161,19,434,16753,NA,2019,Scurry
Shackelford County,County Total,0,0,0,5,1,2,0,8,3217,NA,2019,Shackelford
Shelby County,County Total,2,10,4,59,111,223,45,454,24119,NA,2019,Shelby
Sherman County,County Total,0,0,0,0,3,5,0,8,3067,NA,2019,Sherman
Smith County,County Total,7,138,82,551,922,3660,428,5788,231299,NA,2019,Smith
Somervell County,County Total,0,0,0,4,11,16,3,34,9026,NA,2019,Somervell
Starr County,County Total,1,17,7,121,162,399,77,784,64552,NA,2019,Starr
Stephens County,County Total,0,1,1,12,29,84,12,139,9352,NA,2019,Stephens
Sterling County,County Total,0,0,1,1,3,8,2,15,1327,NA,2019,Sterling
Stonewall County,County Total,0,0,0,1,0,0,0,1,1338,NA,2019,Stonewall
Sutton County,County Total,0,1,0,0,3,7,5,16,3699,NA,2019,Sutton
Swisher County,County Total,0,4,7,25,40,115,8,199,6766,NA,2019,Swisher
Tarrant County,County Total,103,1116,1697,4692,6998,37792,5960,58358,2050205,NA,2019,Tarrant
Taylor County,County Total,6,112,71,348,654,2462,217,3870,143159,NA,2019,Taylor
Terry County,County Total,0,6,0,20,41,89,21,177,12162,NA,2019,Terry
Throckmorton County,County Total,0,0,2,2,2,4,2,12,1491,NA,2019,Throckmorton
Titus County,County Total,2,29,14,95,128,457,43,768,32903,NA,2019,Titus
Tom Green County,County Total,7,110,33,284,610,2634,258,3936,118416,NA,2019,Tom Green
Travis County,County Total,37,760,1129,3223,5333,33853,3554,47889,1313366,NA,2019,Travis
Trinity County,County Total,0,1,1,4,28,35,10,79,11881,NA,2019,Trinity
Tyler County,County Total,5,6,1,57,122,96,39,326,21552,NA,2019,Tyler
Upshur County,County Total,0,11,8,54,108,206,29,416,37915,NA,2019,Upshur
Upton County,County Total,0,0,0,2,3,25,3,33,3693,NA,2019,Upton
Uvalde County,County Total,2,10,4,53,106,588,23,786,26728,NA,2019,Uvalde
Val Verde County,County Total,2,13,10,42,153,497,47,764,48927,NA,2019,Val Verde
Van Zandt County,County Total,2,11,2,37,120,282,59,513,54595,NA,2019,Van Zandt
Victoria County,County Total,6,90,55,298,509,1713,169,2840,92120,NA,2019,Victoria
Walker County,County Total,0,36,26,189,176,641,94,1162,72570,NA,2019,Walker
Waller County,County Total,3,41,23,91,154,469,72,853,52852,NA,2019,Waller
Ward County,County Total,1,8,4,50,56,280,18,417,11796,NA,2019,Ward
Washington County,County Total,0,26,8,109,110,355,36,644,35066,NA,2019,Washington
Webb County,County Total,6,122,169,609,771,3877,328,5882,272676,NA,2019,Webb
Wharton County,County Total,1,18,25,103,177,559,61,944,41400,NA,2019,Wharton
Wheeler County,County Total,0,0,0,5,1,7,3,16,3325,NA,2019,Wheeler
Wichita County,County Total,4,115,92,227,676,2688,278,4080,131269,NA,2019,Wichita
Wilbarger County,County Total,0,11,4,36,47,148,11,257,12657,NA,2019,Wilbarger
Willacy County,County Total,0,18,4,134,161,227,12,556,21293,NA,2019,Willacy
Williamson County,County Total,8,178,87,320,804,4994,321,6712,540695,NA,2019,Williamson
Wilson County,County Total,0,9,1,37,149,225,35,456,50870,NA,2019,Wilson
Winkler County,County Total,2,3,1,26,71,125,32,260,7756,NA,2019,Winkler
Wise County,County Total,3,23,7,78,146,463,59,779,69118,NA,2019,Wise
Wood County,County Total,0,41,6,46,111,249,48,501,45954,NA,2019,Wood
Yoakum County,County Total,0,2,0,2,33,39,9,85,8634,NA,2019,Yoakum
Young County,County Total,1,11,3,21,50,87,15,188,17873,NA,2019,Young
Zapata County,County Total,0,1,5,46,76,105,2,235,14114,NA,2019,Zapata
Zavala County,County Total,0,4,0,17,41,27,5,94,11940,NA,2019,Zavala
Anderson County,County Total,4,15,7,109,208,456,70,869,57474,NA,2020,Anderson
Andrews County,County Total,2,13,2,51,46,330,33,477,19130,NA,2020,Andrews
Angelina County,County Total,4,55,55,293,1122,1483,201,3213,86399,NA,2020,Angelina
Aransas County,County Total,4,18,8,110,297,671,60,1168,31073,NA,2020,Aransas
Archer County,County Total,0,0,0,1,4,10,2,17,1687,NA,2020,Archer
Armstrong County,County Total,0,0,0,0,0,3,1,4,1880,NA,2020,Armstrong
Atascosa County,County Total,5,5,11,82,187,652,114,1056,52332,NA,2020,Atascosa
Austin County,County Total,3,6,3,33,72,133,31,281,30121,NA,2020,Austin
Bailey County,County Total,0,2,0,1,8,23,9,43,6960,NA,2020,Bailey
Bandera County,County Total,0,5,0,13,60,123,20,221,23336,NA,2020,Bandera
Bastrop County,County Total,1,38,33,199,182,685,135,1273,91221,NA,2020,Bastrop
Baylor County,County Total,0,2,0,7,4,15,9,37,3476,NA,2020,Baylor
Bee County,County Total,0,2,6,64,151,391,28,642,32534,NA,2020,Bee
Bell County,County Total,43,218,210,1066,1249,4743,954,8483,366533,NA,2020,Bell
Bexar County,County Total,154,1450,2320,9018,9702,48934,8049,79627,2034193,NA,2020,Bexar
Blanco County,County Total,1,1,1,27,30,45,7,112,12061,NA,2020,Blanco
Borden County,County Total,0,1,0,0,6,5,1,13,653,NA,2020,Borden
Bosque County,County Total,1,0,0,8,41,54,6,110,18682,NA,2020,Bosque
Bowie County,County Total,3,70,42,266,373,1146,193,2093,92995,NA,2020,Bowie
Brazoria County,County Total,13,118,108,457,708,4303,505,6212,386756,NA,2020,Brazoria
Brazos County,County Total,9,184,80,468,675,3494,401,5311,232487,NA,2020,Brazos
Brewster County,County Total,0,2,0,8,38,21,9,78,9166,NA,2020,Brewster
Briscoe County,County Total,0,0,0,1,0,3,3,7,1532,NA,2020,Briscoe
Brooks County,County Total,0,0,0,32,47,59,2,140,7056,NA,2020,Brooks
Brown County,County Total,0,38,13,96,212,615,64,1038,37712,NA,2020,Brown
Burleson County,County Total,0,6,0,31,57,120,15,229,18520,NA,2020,Burleson
Burnet County,County Total,3,26,5,85,112,331,57,619,50632,NA,2020,Burnet
Caldwell County,County Total,1,17,7,59,68,234,41,427,43708,NA,2020,Caldwell
Calhoun County,County Total,1,13,2,33,57,119,25,250,19036,NA,2020,Calhoun
Callahan County,County Total,0,0,0,19,38,56,18,131,13944,NA,2020,Callahan
Cameron County,County Total,13,181,246,1077,1162,6615,393,9687,423478,NA,2020,Cameron
Camp County,County Total,0,7,3,37,34,71,18,170,13129,NA,2020,Camp
Carson County,County Total,0,0,0,14,10,14,5,43,5881,NA,2020,Carson
Cass County,County Total,1,7,2,36,133,220,47,446,29491,NA,2020,Cass
Castro County,County Total,0,0,0,4,10,26,8,48,7442,NA,2020,Castro
Chambers County,County Total,4,16,8,106,117,513,98,862,40518,NA,2020,Chambers
Cherokee County,County Total,1,15,3,89,217,460,96,881,52381,NA,2020,Cherokee
Childress County,County Total,0,2,0,7,11,23,7,50,7308,NA,2020,Childress
Clay County,County Total,0,3,1,9,34,49,9,105,10406,NA,2020,Clay
Cochran County,County Total,0,0,0,3,14,22,9,48,2812,NA,2020,Cochran
Coke County,County Total,0,0,0,3,9,7,2,21,3383,NA,2020,Coke
Coleman County,County Total,0,2,2,18,8,7,5,42,5228,NA,2020,Coleman
Collin County,County Total,9,335,223,715,1395,9343,939,12959,1055292,NA,2020,Collin
Collingsworth County,County Total,0,0,0,0,0,0,0,0,2896,NA,2020,Collingsworth
Colorado County,County Total,3,1,9,22,96,156,39,326,21489,NA,2020,Colorado
Comal County,County Total,8,47,34,282,386,1320,236,2313,176360,NA,2020,Comal
Comanche County,County Total,4,4,1,13,45,134,12,213,13554,NA,2020,Comanche
Concho County,County Total,0,0,0,1,2,5,1,9,2617,NA,2020,Concho
Cooke County,County Total,4,25,12,67,131,476,70,785,40582,NA,2020,Cooke
Coryell County,County Total,5,9,15,161,182,706,69,1147,76414,NA,2020,Coryell
Crane County,County Total,0,2,0,3,5,15,5,30,4830,NA,2020,Crane
Crockett County,County Total,1,0,0,2,7,2,2,14,3427,NA,2020,Crockett
Crosby County,County Total,0,0,0,5,15,19,5,44,4549,NA,2020,Crosby
Culberson County,County Total,0,0,0,0,0,0,0,0,2140,NA,2020,Culberson
Dallam County,County Total,1,4,1,20,43,103,15,187,9926,NA,2020,Dallam
Dallas County,County Total,300,1194,4602,10340,14238,52869,16342,99885,2947321,NA,2020,Dallas
Dawson County,County Total,0,13,2,46,116,276,37,490,12451,NA,2020,Dawson
Deaf Smith County,County Total,0,0,11,109,79,212,44,455,18384,NA,2020,Deaf Smith
Delta County,County Total,0,1,0,1,9,3,1,15,5324,NA,2020,Delta
Denton County,County Total,14,385,176,614,1030,6515,926,9660,698492,NA,2020,Denton
DeWitt County,County Total,0,11,2,56,73,174,30,346,15941,NA,2020,DeWitt
Dickens County,County Total,0,0,0,0,4,0,1,5,2179,NA,2020,Dickens
Dimmit County,County Total,0,4,0,5,36,72,6,123,10101,NA,2020,Dimmit
Donley County,County Total,0,1,0,3,10,10,3,27,3220,NA,2020,Donley
Duval County,County Total,0,3,0,28,22,83,41,177,11934,NA,2020,Duval
Eastland County,County Total,1,14,3,20,77,102,33,250,17452,NA,2020,Eastland
Ector County,County Total,19,111,162,908,872,3323,889,6284,171497,NA,2020,Ector
Edwards County,County Total,0,0,0,0,0,0,0,0,1918,NA,2020,Edwards
Ellis County,County Total,3,60,51,168,351,1585,209,2427,180590,NA,2020,Ellis
El Paso County,County Total,37,353,326,1955,1056,8352,633,12712,840442,NA,2020,El Paso
Erath County,County Total,0,31,2,42,90,322,31,518,43118,NA,2020,Erath
Falls County,County Total,0,2,5,38,40,42,11,138,15090,NA,2020,Falls
Fannin County,County Total,0,15,4,50,57,200,25,351,32817,NA,2020,Fannin
Fayette County,County Total,0,16,2,36,63,166,37,320,25348,NA,2020,Fayette
Fisher County,County Total,0,0,0,11,3,4,2,20,3803,NA,2020,Fisher
Floyd County,County Total,0,1,1,11,21,38,5,77,5622,NA,2020,Floyd
Foard County,County Total,0,0,0,0,0,0,0,0,329,NA,2020,Foard
Fort Bend County,County Total,22,225,247,1035,1132,6607,684,9952,797951,NA,2020,Fort Bend
Franklin County,County Total,0,4,1,14,19,25,5,68,10007,NA,2020,Franklin
Freestone County,County Total,0,2,2,38,99,112,31,284,19641,NA,2020,Freestone
Frio County,County Total,1,3,2,29,189,95,21,340,20606,NA,2020,Frio
Gaines County,County Total,0,1,1,29,48,101,37,217,21902,NA,2020,Gaines
Galveston County,County Total,28,259,178,641,1088,5269,855,8318,360636,NA,2020,Galveston
Garza County,County Total,0,10,0,12,9,7,2,40,6184,NA,2020,Garza
Gillespie County,County Total,0,4,1,12,31,103,9,160,27141,NA,2020,Gillespie
Glasscock County,County Total,0,0,0,3,6,9,5,23,1425,NA,2020,Glasscock
Goliad County,County Total,0,1,1,20,31,42,9,104,7683,NA,2020,Goliad
Gonzales County,County Total,1,14,4,102,42,123,23,309,19752,NA,2020,Gonzales
Gray County,County Total,0,15,4,67,109,413,39,647,21750,NA,2020,Gray
Grayson County,County Total,9,77,40,262,450,1342,253,2433,135314,NA,2020,Grayson
Gregg County,County Total,14,92,62,274,568,2398,314,3722,131770,NA,2020,Gregg
Grimes County,County Total,0,18,11,52,108,172,57,418,29045,NA,2020,Grimes
Guadalupe County,County Total,0,79,27,153,336,1354,163,2112,154998,NA,2020,Guadalupe
Hale County,County Total,1,10,5,38,121,323,38,536,31710,NA,2020,Hale
Hall County,County Total,0,0,0,0,3,5,1,9,2786,NA,2020,Hall
Hamilton County,County Total,0,1,1,5,6,46,1,60,7015,NA,2020,Hamilton
Hansford County,County Total,0,1,0,9,5,10,4,29,5359,NA,2020,Hansford
Hardeman County,County Total,0,0,0,2,8,17,0,27,3896,NA,2020,Hardeman
Hardin County,County Total,2,17,6,49,127,311,110,622,57727,NA,2020,Hardin
Harris County,County Total,566,2610,11292,26099,24204,109140,23775,197686,4799254,NA,2020,Harris
Harrison County,County Total,5,9,18,179,251,615,113,1190,64448,NA,2020,Harrison
Hartley County,County Total,0,0,0,0,1,1,2,4,2905,NA,2020,Hartley
Haskell County,County Total,0,0,0,5,10,19,9,43,5581,NA,2020,Haskell
Hays County,County Total,10,169,59,317,510,2341,276,3682,239175,NA,2020,Hays
Hemphill County,County Total,0,6,0,1,2,8,0,17,3810,NA,2020,Hemphill
Henderson County,County Total,3,69,12,102,323,411,116,1036,79124,NA,2020,Henderson
Hidalgo County,County Total,38,432,271,1590,2060,12665,846,17902,859852,NA,2020,Hidalgo
Hill County,County Total,1,13,4,33,110,335,41,537,35291,NA,2020,Hill
Hockley County,County Total,2,19,7,114,159,276,61,638,22961,NA,2020,Hockley
Hood County,County Total,3,17,1,68,110,689,49,937,61659,NA,2020,Hood
Hopkins County,County Total,5,17,7,40,37,152,56,314,37172,NA,2020,Hopkins
Houston County,County Total,0,2,4,28,70,169,13,286,22813,NA,2020,Houston
Howard County,County Total,2,11,13,147,188,702,143,1206,36732,NA,2020,Howard
Hudspeth County,County Total,0,1,0,1,5,6,4,17,5068,NA,2020,Hudspeth
Hunt County,County Total,2,45,33,361,187,786,188,1602,93688,NA,2020,Hunt
Hutchinson County,County Total,0,11,1,35,125,268,42,482,20730,NA,2020,Hutchinson
Irion County,County Total,0,0,0,1,1,8,4,14,1524,NA,2020,Irion
Jack County,County Total,0,3,0,13,19,48,9,92,8898,NA,2020,Jack
Jackson County,County Total,0,4,5,22,57,110,21,219,14786,NA,2020,Jackson
Jasper County,County Total,2,18,4,83,184,364,96,751,33321,NA,2020,Jasper
Jeff Davis County,County Total,0,0,0,2,4,5,2,13,2259,NA,2020,Jeff Davis
Jefferson County,County Total,35,152,411,1513,1508,4116,632,8367,250621,NA,2020,Jefferson
Jim Hogg County,County Total,0,2,0,10,18,12,4,46,5173,NA,2020,Jim Hogg
Jim Wells County,County Total,2,20,11,181,351,656,86,1307,38123,NA,2020,Jim Wells
Johnson County,County Total,4,86,33,360,352,1473,255,2563,186315,NA,2020,Johnson
Jones County,County Total,2,1,1,13,41,71,15,144,14308,NA,2020,Jones
Karnes County,County Total,0,3,3,19,74,134,25,258,15629,NA,2020,Karnes
Kaufman County,County Total,5,55,36,149,342,1368,245,2200,139629,NA,2020,Kaufman
Kendall County,County Total,0,15,4,40,59,272,63,453,46604,NA,2020,Kendall
Kenedy County,County Total,0,0,0,2,0,3,7,12,402,NA,2020,Kenedy
Kent County,County Total,0,0,0,0,4,4,0,8,754,NA,2020,Kent
Kerr County,County Total,2,30,1,76,82,328,27,546,52759,NA,2020,Kerr
Kimble County,County Total,1,0,0,0,6,7,1,15,4294,NA,2020,Kimble
Kinney County,County Total,0,0,0,0,0,0,0,0,1977,NA,2020,Kinney
Kleberg County,County Total,1,30,12,95,143,457,23,761,30429,NA,2020,Kleberg
Knox County,County Total,0,2,0,3,8,8,1,22,2390,NA,2020,Knox
Lamar County,County Total,3,39,16,224,201,601,92,1176,49694,NA,2020,Lamar
Lamb County,County Total,2,3,1,34,91,140,22,293,12733,NA,2020,Lamb
Lampasas County,County Total,0,4,0,31,71,229,21,356,20005,NA,2020,Lampasas
La Salle County,County Total,0,1,1,20,6,23,0,51,7565,NA,2020,La Salle
Lavaca County,County Total,0,5,1,25,92,103,11,237,22304,NA,2020,Lavaca
Lee County,County Total,1,13,2,23,35,121,19,214,16027,NA,2020,Lee
Leon County,County Total,0,2,1,4,51,86,7,151,15570,NA,2020,Leon
Liberty County,County Total,14,56,18,245,289,829,257,1708,89450,NA,2020,Liberty
Limestone County,County Total,1,7,2,39,69,176,29,323,23349,NA,2020,Limestone
Lipscomb County,County Total,0,0,0,1,9,8,2,20,3217,NA,2020,Lipscomb
Live Oak County,County Total,0,0,3,3,4,0,1,11,4535,NA,2020,Live Oak
Llano County,County Total,0,6,1,25,55,179,28,294,18771,NA,2020,Llano
Loving County,County Total,0,0,0,2,1,15,1,19,183,NA,2020,Loving
Lubbock County,County Total,32,262,441,2244,2541,7996,1263,14779,310348,NA,2020,Lubbock
Lynn County,County Total,0,0,0,6,9,16,7,38,5216,NA,2020,Lynn
McCulloch County,County Total,0,4,1,14,44,36,15,114,7930,NA,2020,McCulloch
McLennan County,County Total,15,157,172,862,1276,4977,590,8049,256173,NA,2020,McLennan
McMullen County,County Total,0,0,0,0,4,5,0,9,744,NA,2020,McMullen
Madison County,County Total,0,1,2,20,37,59,11,130,14214,NA,2020,Madison
Marion County,County Total,0,2,1,19,41,61,12,136,9753,NA,2020,Marion
Martin County,County Total,0,1,0,11,12,83,7,114,5870,NA,2020,Martin
Mason County,County Total,0,0,0,3,5,6,0,14,4290,NA,2020,Mason
Matagorda County,County Total,9,37,16,125,168,740,65,1160,36511,NA,2020,Matagorda
Maverick County,County Total,4,2,7,77,246,572,78,986,59018,NA,2020,Maverick
Medina County,County Total,2,21,9,84,158,442,82,798,50179,NA,2020,Medina
Menard County,County Total,0,0,0,1,0,0,0,1,2121,NA,2020,Menard
Midland County,County Total,13,89,53,511,507,2713,672,4558,179087,NA,2020,Midland
Milam County,County Total,1,6,2,37,93,164,22,325,24757,NA,2020,Milam
Mills County,County Total,0,1,0,9,4,9,0,23,4846,NA,2020,Mills
Mitchell County,County Total,0,0,1,11,21,57,3,93,8427,NA,2020,Mitchell
Montague County,County Total,0,5,3,20,72,122,10,232,18733,NA,2020,Montague
Montgomery County,County Total,17,118,156,792,1110,5409,762,8364,616505,NA,2020,Montgomery
Moore County,County Total,0,11,1,32,52,250,57,403,20755,NA,2020,Moore
Morris County,County Total,0,5,2,36,30,76,16,165,12283,NA,2020,Morris
Motley County,County Total,0,0,0,0,0,1,0,1,1196,NA,2020,Motley
Nacogdoches County,County Total,3,40,16,129,216,976,91,1471,65040,NA,2020,Nacogdoches
Navarro County,County Total,2,33,17,143,253,648,76,1172,50198,NA,2020,Navarro
Newton County,County Total,3,3,1,16,47,44,11,125,13458,NA,2020,Newton
Nolan County,County Total,0,3,0,22,61,102,6,194,13327,NA,2020,Nolan
Nueces County,County Total,38,276,491,2174,2193,8397,933,14502,363576,NA,2020,Nueces
Ochiltree County,County Total,0,4,0,19,17,82,10,132,9768,NA,2020,Ochiltree
Oldham County,County Total,0,0,0,2,5,7,3,17,2112,NA,2020,Oldham
Orange County,County Total,2,23,29,174,363,691,177,1459,82779,NA,2020,Orange
Palo Pinto County,County Total,1,13,5,42,197,385,64,707,29378,NA,2020,Palo Pinto
Panola County,County Total,0,10,2,56,91,317,24,500,22784,NA,2020,Panola
Parker County,County Total,3,59,18,160,268,1139,164,1811,143060,NA,2020,Parker
Parmer County,County Total,0,1,0,12,14,35,7,69,9502,NA,2020,Parmer
