date,count,day
2022-12-26T00:00:00Z,349,Monday
2022-12-25T00:00:00Z,343,Sunday
2022-12-24T00:00:00Z,389,Saturday
2022-12-23T00:00:00Z,439,Friday
2022-12-22T00:00:00Z,444,Thursday
2022-12-21T00:00:00Z,487,Wednesday
2022-12-20T00:00:00Z,551,Tuesday
2022-12-19T00:00:00Z,540,Monday
2022-12-18T00:00:00Z,551,Sunday
2022-12-17T00:00:00Z,554,Saturday
2022-12-16T00:00:00Z,568,Friday
2022-12-15T00:00:00Z,537,Thursday
2022-12-14T00:00:00Z,532,Wednesday
2022-12-13T00:00:00Z,551,Tuesday
2022-12-12T00:00:00Z,592,Monday
2022-12-11T00:00:00Z,577,Sunday
2022-12-10T00:00:00Z,628,Saturday
2022-12-09T00:00:00Z,650,Friday
2022-12-08T00:00:00Z,534,Thursday
2022-12-07T00:00:00Z,639,Wednesday
2022-12-06T00:00:00Z,586,Tuesday
2022-12-05T00:00:00Z,590,Monday
2022-12-04T00:00:00Z,630,Sunday
2022-12-03T00:00:00Z,587,Saturday
2022-12-02T00:00:00Z,597,Friday
2022-12-01T00:00:00Z,635,Thursday
2022-11-30T00:00:00Z,669,Wednesday
2022-11-29T00:00:00Z,649,Tuesday
2022-11-28T00:00:00Z,645,Monday
2022-11-27T00:00:00Z,666,Sunday
2022-11-26T00:00:00Z,597,Saturday
2022-11-25T00:00:00Z,656,Friday
2022-11-24T00:00:00Z,466,Thursday
2022-11-23T00:00:00Z,645,Wednesday
2022-11-22T00:00:00Z,622,Tuesday
2022-11-21T00:00:00Z,554,Monday
2022-11-20T00:00:00Z,641,Sunday
2022-11-19T00:00:00Z,606,Saturday
2022-11-18T00:00:00Z,720,Friday
2022-11-17T00:00:00Z,638,Thursday
2022-11-16T00:00:00Z,566,Wednesday
2022-11-15T00:00:00Z,615,Tuesday
2022-11-14T00:00:00Z,571,Monday
2022-11-13T00:00:00Z,617,Sunday
2022-11-12T00:00:00Z,594,Saturday
2022-11-11T00:00:00Z,585,Friday
2022-11-10T00:00:00Z,600,Thursday
2022-11-09T00:00:00Z,639,Wednesday
2022-11-08T00:00:00Z,660,Tuesday
2022-11-07T00:00:00Z,691,Monday
2022-11-06T00:00:00Z,724,Sunday
2022-11-05T00:00:00Z,697,Saturday
2022-11-04T00:00:00Z,757,Friday
2022-11-03T00:00:00Z,718,Thursday
2022-11-02T00:00:00Z,655,Wednesday
2022-11-01T00:00:00Z,727,Tuesday
2022-10-31T00:00:00Z,623,Monday
2022-10-30T00:00:00Z,680,Sunday
2022-10-29T00:00:00Z,716,Saturday
2022-10-28T00:00:00Z,721,Friday
2022-10-27T00:00:00Z,708,Thursday
2022-10-26T00:00:00Z,684,Wednesday
2022-10-25T00:00:00Z,676,Tuesday
2022-10-24T00:00:00Z,690,Monday
2022-10-23T00:00:00Z,697,Sunday
2022-10-22T00:00:00Z,654,Saturday
2022-10-21T00:00:00Z,708,Friday
2022-10-20T00:00:00Z,662,Thursday
2022-10-19T00:00:00Z,652,Wednesday
2022-10-18T00:00:00Z,660,Tuesday
2022-10-17T00:00:00Z,676,Monday
