Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-03-30T00:00:00Z,05,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,CHENEVERT,-,-,1
2015-03-31T00:00:00Z,02,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST,-,1
2015-03-28T00:00:00Z,12,Theft,10H40,"Road, Street, or Sidewalk",700-799,HOLMAN,-,-,1
2015-03-17T00:00:00Z,23,Auto Theft,10H40,Restaurant or Cafeteria Parking Lot,900-999,MCGOWEN,ST,-,1
2015-03-21T00:00:00Z,11,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,CAROLINE,ST,-,1
2015-03-21T00:00:00Z,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-29T00:00:00Z,20,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-11-28T00:00:00Z,14,Theft,10H40,,UNK,TUAM,-,-,1
2015-03-18T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,TUAM,-,-,1
2015-03-02T00:00:00Z,08,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-03-03T00:00:00Z,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-03T00:00:00Z,17,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3500-3599,FANNIN,ST,-,1
2015-03-04T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,DENNIS,ST,-,1
2015-03-06T00:00:00Z,10,Theft,10H40,"Road, Street, or Sidewalk",900-999,HOLMAN,-,-,1
2015-03-13T00:00:00Z,11,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,MAIN,ST,-,1
2015-03-14T00:00:00Z,13,Theft,10H40,"Road, Street, or Sidewalk",800-899,HOLMAN,-,-,1
2015-03-14T00:00:00Z,20,Theft,10H40,Strip Business Center Parking Lot,800-899,BERRY,ST,-,1
2015-03-11T00:00:00Z,17,Theft,10H40,Apartment Parking Lot,3900-3999,FANNIN,ST,-,1
2014-02-19T00:00:00Z,09,Theft,10H40,Social Services or Public Charities,UNK,ELGIN,ST,-,1
2015-03-04T00:00:00Z,12,Robbery,10H40,"Road, Street, or Sidewalk",2600-2699,MAIN,ST,-,1
2015-03-06T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,CRAWFORD,ST,-,1
2015-03-07T00:00:00Z,20,Theft,10H40,Construction Site,1000-1099,HOLMAN,-,-,1
2015-03-10T00:00:00Z,15,Theft,10H40,,2200-2299,CHENEVERT,-,-,1
2015-03-11T00:00:00Z,21,Theft,10H40,Apartment Parking Lot,2400-2499,MILAM,-,-,1
2015-03-13T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-14T00:00:00Z,15,Theft,10H40,Other Parking Lot,800-899,STUART,-,-,1
2015-03-20T00:00:00Z,01,Theft,10H40,Bar or Night Club,3600-3699,MAIN,ST,-,1
2015-03-20T00:00:00Z,11,Theft,10H40,"Other, Unknown, or Not Listed",2100-2199,MAIN,ST,-,1
2015-03-20T00:00:00Z,19,Robbery,10H40,Bus Station,2200-2299,MAIN,ST,-,1
2015-03-21T00:00:00Z,00,Theft,10H40,Other Parking Lot,900-999,WINBERN,-,-,1
2015-03-21T00:00:00Z,02,Auto Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HADLEY,ST,-,1
2015-03-21T00:00:00Z,02,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CAROLINE,ST,-,1
2015-03-21T00:00:00Z,21,Theft,10H40,,UNK,SAN JACINTO,-,-,1
2015-03-22T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,CHENEVERT,-,-,1
2015-03-22T00:00:00Z,20,Theft,10H40,Garage or Carport,3800-3899,MAIN,ST,-,1
