Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
05/09/2017,08,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,AUSTIN ST,ST,-,1
05/09/2017,09,Theft,10H40,"Road, Street, or Sidewalk",4300-4399,SAN JACINTO ST,ST,-,1
05/09/2017,11,Robbery,10H40,Bank,2300-2399,FANNIN,ST,-,1
05/09/2017,14,AutoTheft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,MAIN,ST,-,1
05/10/2017,09,AutoTheft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,1000-1099,WEBSTER,ST,-,1
05/10/2017,05,Robbery,10H40,"Road, Street, or Sidewalk",300-399,BURR,ST,N,1
05/10/2017,18,Theft,10H40,Apartment Parking Lot,4000-4099,FANNIN ST 4443,-,-,1
05/11/2017,05,AutoTheft,10H40,"Road, Street, or Sidewalk",2300-2399,CRAWFORD ST,ST,-,1
05/11/2017,22,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,BERRY ST,ST,-,1
05/11/2017,23,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-,-,1
05/11/2017,12,Theft,10H40,"Road, Street, or Sidewalk",800-899,WINBERN,-,-,1
05/12/2017,19,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1600-1699,AUSTIN,ST,-,1
05/12/2017,12,Theft,10H40,Residence or House,3400-3499,FANNIN ST,ST,-,1
05/13/2017,13,Theft,10H40,Garage or Carport,3800-3899,MAIN ST OB,-,-,1
05/13/2017,23,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,FRANCIS ST,ST,-,1
05/14/2017,18,Theft,10H40,Residence or House,900-999,FRANKLIN,ST,-,1
05/14/2017,21,Robbery,10H40,Restaurant or Cafeteria Parking Lot,100-199,QUINCE,AVE,-,1
05/14/2017,11,Robbery,10H40,"Parks and Recreation, Zoo, Swimming Pool",400-499,RICHMOND AVE,-,-,1
05/15/2017,01,Theft,10H40,Apartment Rental Office,5800-5899,HARRISBURG,-,-,1
05/15/2017,08,Theft,10H40,Apartment Parking Lot,3800-3899,MAIN ST OB,-,-,1
05/15/2017,08,Theft,10H40,Construction Site,1900-1999,GRAY,ST,-,1
05/15/2017,13,Theft,10H40,"Road, Street, or Sidewalk",4000-4099,FANNIN ST,ST,-,1
05/16/2017,23,Aggravated Assault,10H40,Bus Station,11500-11599,WESTPARK,DR,-,1
05/16/2017,06,Theft,10H40,"Road, Street, or Sidewalk",900-999,ROSEWOOD,-,-,1
05/16/2017,08,Theft,10H40,Vacant School or College/University,1300-1399,HOLMAN,-,-,1
05/16/2017,18,Robbery,10H40,Bus Stop,1300-1399,FAIRVIEW,-,-,1
05/16/2017,15,Theft,10H40,Other Parking Lot,1000-1099,ELGIN ST,ST,-,1
05/17/2017,00,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,AUGUSTA DR APT 6009,-,-,1
05/17/2017,07,Robbery,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO ST,ST,-,1
05/17/2017,08,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,CHENEVERT,-,-,3
05/17/2017,09,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,TUAM,-,-,1
05/17/2017,16,Theft,10H40,Commercial Parking Lot or Garage,900-999,ROSEWOOD,-,-,1
05/17/2017,20,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",3000-3099,TRAVIS,-,-,1
05/17/2017,22,Theft,10H40,"Road, Street, or Sidewalk",14500-14599,BAMMEL NORTH HOUSTON,RD,-,1
05/18/2017,14,Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,ADAMS,-,-,1
05/18/2017,10,Theft,10H40,Other Parking Lot,4500-4599,TRAVIS,-,-,1
05/18/2017,12,AutoTheft,10H40,"Road, Street, or Sidewalk",10700-10799,FUQUA STREET APT,-,-,1
05/18/2017,18,Theft,10H40,Park and Ride Terminal,3000-3099,MURWORTH 808,-,-,1
05/19/2017,03,Theft,10H40,Bar or Night Club Parking Lot,1500-1599,WINBERN,-,-,1
05/19/2017,07,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,ALMEDA RD,RD,-,1
05/19/2017,16,AutoTheft,10H40,Commercial Parking Lot or Garage,4300-4399,BASTROP,-,-,1
05/19/2017,13,Theft,10H40,Commercial Parking Lot or Garage,3700-3799,LA BRANCH,-,-,1
05/19/2017,14,Theft,10H40,Other Parking Lot,3700-3799,LA BRANCH,-,-,1
05/19/2017,09,Theft,10H40,"Other, Unknown, or Not Listed",4400-4499,SAN JACINTO ST,ST,-,1
05/19/2017,21,Aggravated Assault,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-,1
05/20/2017,16,Theft,10H40,Restaurant or Cafeteria Parking Lot,2100-2199,FANNIN,ST,-,1
05/21/2017,07,Robbery,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE ST,ST,-,1
05/21/2017,03,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
05/22/2017,11,Theft,10H40,Garage or Carport,3200-3299,AUSTIN ST,ST,-,1
05/22/2017,09,Theft,10H40,Driveway,3200-3299,AUSTIN ST,ST,-,1
05/22/2017,09,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST,-,1
05/23/2017,01,Robbery,10H40,"Road, Street, or Sidewalk",100-199,WEST GRAY,ST,-,1
05/24/2017,17,Theft,10H40,Commercial Parking Lot or Garage,1600-1699,MOONEY,RD,-,1
05/24/2017,17,Theft,10H40,Commercial Parking Lot or Garage,4500-4599,MAIN ST,ST,-,1
05/24/2017,10,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BERRY ST,ST,-,1
05/24/2017,09,Theft,10H40,"Road, Street, or Sidewalk",4600-4699,WRIGHT,RD,-,1
05/25/2017,08,AutoTheft,10H40,Other Parking Lot,13800-13899,ELLA,BLVD,-,1
05/25/2017,00,Theft,10H40,"Road, Street, or Sidewalk",12800-12899,TOSCA LANE,-,-,1
05/25/2017,12,Theft,10H40,Commercial Parking Lot or Garage,2200-2299,SAINT EMANUEL,ST,-,1
05/25/2017,15,AutoTheft,10H40,Commercial Parking Lot or Garage,2500-2599,MAIN,ST,-,1
05/26/2017,00,Theft,10H40,Apartment,10400-10499,SPRING CIRCLE,-,-,1
05/26/2017,08,Theft,10H40,"Church, Synagogue, or Temple",3600-3699,MILAM,-,-,1
05/26/2017,12,Aggravated Assault,10H40,Restaurant or Cafeteria Parking Lot,4400-4499,FANNIN ST,ST,-,1
05/26/2017,17,Theft,10H40,Department or Discount Store,1000-1099,ELGIN,ST,-,1
05/27/2017,10,Theft,10H40,Garage or Carport,3200-3299,LOUISIANA ST,ST,-,1
05/27/2017,10,Burglary,10H40,Bar or Night Club,7500-7599,PEERLESS,ST,-,1
05/27/2017,01,Aggravated Assault,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-,1
05/27/2017,01,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,POST OAK BLVD.,-,-,1
05/27/2017,16,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,MILAM,-,-,1
05/27/2017,15,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST,-,1
05/27/2017,21,Aggravated Assault,10H40,Apartment,6800-6899,BETHUNE,-,-,1
05/28/2017,10,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-,-,1
05/28/2017,12,Theft,10H40,Bar or Night Club,1900-1999,GRAY ST,ST,-,1
