beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",7615,Violent,147,189,195,67,191,531,177,32.7,29.9,-2.1,8,1930.4,2481.9,2560.7,2508.2,2324.4
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",43826,Violent,1097,1337,1378,458,1405,3812,1270.7,25.6,28.1,2,11,2503.1,3050.7,3144.3,3205.9,2899.4
12D20,12,3.83700574,Sage,22428,Violent,359,427,375,121,383,1161,387,4.5,6.7,2.1,-1,1600.7,1903.9,1672,1707.7,1725.5
12D30,12,3.99301158,Gulf Palms and Beamer,14676,Violent,201,206,204,47,192,611,203.7,1.5,-4.5,-5.9,-6,1369.6,1403.7,1390,1308.3,1388
12D40,12,9.68663455,Scarsdale and Ellington Field,10667,Violent,252,272,244,77,232,768,256,-3.2,-7.9,-4.9,-9,2362.4,2549.9,2287.4,2174.9,2399.9
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",25606,Violent,96,80,94,29,91,270,90,-2.1,-5.2,-3.2,1,374.9,312.4,367.1,355.4,351.5
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22499,Violent,199,269,242,69,245,710,236.7,21.6,23.1,1.2,4,884.5,1195.6,1075.6,1088.9,1052
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,11955,Violent,223,255,221,67,217,699,233,-0.9,-2.7,-1.8,-7,1865.3,2133,1848.6,1815.1,1949
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23207,Violent,677,668,592,209,616,1937,645.7,-12.6,-9,4.1,-5,2917.2,2878.4,2551,2654.4,2782.4
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36151,Violent,1149,1148,918,332,916,3215,1071.7,-20.1,-20.3,-0.2,-15,3178.3,3175.6,2539.3,2533.8,2964.5
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",1524,Violent,46,37,35,15,36,118,39.3,-23.9,-21.7,2.9,-8,3018.4,2427.8,2296.6,2362.2,2578.7
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13362,Violent,166,222,183,59,173,571,190.3,10.2,4.2,-5.5,-9,1242.3,1661.4,1369.6,1294.7,1424.2
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17296,Violent,1038,1096,892,263,852,3026,1008.7,-14.1,-17.9,-4.5,-16,6001.4,6336.7,5157.3,4926,5832
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28038,Violent,1691,1763,1512,484,1468,4966,1655.3,-10.6,-13.2,-2.9,-11,6031.1,6287.9,5392.7,5235.8,5903.8
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",20724,Violent,821,750,660,223,612,2231,743.7,-19.6,-25.5,-7.3,-18,3961.6,3619,3184.7,2953.1,3588.6
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",20619,Violent,622,667,604,206,624,1893,631,-2.9,0.3,3.3,-1,3016.6,3234.9,2929.3,3026.3,3060.3
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9247,Violent,196,247,245,88,254,688,229.3,25,29.6,3.7,11,2119.6,2671.1,2649.5,2746.8,2479.7
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24186,Violent,328,359,424,117,408,1111,370.3,29.3,24.4,-3.8,10,1356.2,1484.3,1753.1,1686.9,1531.1
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",17754,Violent,265,323,244,71,218,832,277.3,-7.9,-17.7,-10.7,-21,1492.6,1819.3,1374.3,1227.9,1561.9
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34338,Violent,376,422,436,152,438,1234,411.3,16,16.5,0.5,6,1095,1229,1269.7,1275.6,1197.8
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30317,Violent,943,882,1052,342,1076,2877,959,11.6,14.1,2.3,12,3110.5,2909.3,3470,3549.2,3163.2
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15009,Violent,220,226,202,56,181,648,216,-8.2,-17.7,-10.4,-16,1465.8,1505.8,1345.9,1205.9,1439.1
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35118,Violent,623,687,675,211,647,1985,661.7,8.3,3.9,-4.1,-2,1774,1956.3,1922.1,1842.4,1884.2
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",21532,Violent,498,491,451,145,448,1440,480,-9.4,-10,-0.7,-7,2312.8,2280.3,2094.6,2080.6,2229.2
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35307,Violent,585,654,610,190,607,1849,616.3,4.3,3.8,-0.5,-2,1656.9,1852.3,1727.7,1719.2,1745.5
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51281,Violent,1377,1498,1374,444,1376,4249,1416.3,-0.2,-0.1,0.1,-3,2685.2,2921.2,2679.4,2683.3,2761.8
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,26917,Violent,582,608,591,182,607,1781,593.7,1.5,4.3,2.7,2,2162.2,2258.8,2195.6,2255.1,2205.7
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21251,Violent,620,748,556,193,557,1924,641.3,-10.3,-10.2,0.2,-13,2917.5,3519.8,2616.3,2621.1,3017.7
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",45632,Violent,1352,1381,1304,410,1264,4037,1345.7,-3.6,-6.5,-3.1,-6,2962.8,3026.4,2857.6,2770,2949
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7322,Violent,80,72,73,32,83,225,75,-8.8,3.8,13.7,11,1092.6,983.3,997,1133.6,1024.3
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",23875,Violent,411,424,476,164,506,1311,437,15.8,23.1,6.3,16,1721.5,1775.9,1993.7,2119.4,1830.4
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",35589,Violent,810,922,886,263,852,2618,872.7,9.4,5.2,-3.8,-2,2276,2590.7,2489.5,2394,2452.2
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",34762,Violent,879,1003,976,344,990,2858,952.7,11,12.6,1.4,4,2528.6,2885.3,2807.7,2847.9,2740.6
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20389,Violent,690,710,810,259,805,2210,736.7,17.4,16.7,-0.6,9,3384.2,3482.3,3972.7,3948.2,3613.2
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,27923,Violent,577,579,579,150,519,1735,578.3,0.3,-10.1,-10.4,-10,2066.4,2073.6,2073.6,1858.7,2071.1
19G10,19,2.74020376,Concourse South and Westwood Mall,30517,Violent,1231,1296,1237,418,1276,3764,1254.7,0.5,3.7,3.2,2,4033.8,4246.8,4053.5,4181.3,4111.5
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",24940,Violent,456,442,478,92,413,1376,458.7,4.8,-9.4,-13.6,-10,1828.4,1772.3,1916.6,1656,1839.2
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18412,Violent,308,282,308,87,284,898,299.3,0,-7.8,-7.8,-5,1672.8,1531.6,1672.8,1542.5,1625.6
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37045,Violent,795,783,775,237,765,2353,784.3,-2.5,-3.8,-1.3,-2,2146,2113.6,2092.1,2065.1,2117.2
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",17516,Violent,695,649,644,175,603,1988,662.7,-7.3,-13.2,-6.4,-9,3967.8,3705.2,3676.6,3442.6,3783.4
