beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
24C10,24,5.44044978,Kingwood,13978,Assault,130,166,160,33,164,456,152,23.1,26.2,2.5,8,930,1187.6,1144.7,1173.3,1087.4
24C20,24,6.8291794,Kingwood,16796,Assault,112,166,166,25,168,444,148,48.2,50,1.2,14,666.8,988.3,988.3,1000.2,881.2
24C30,24,9.78735527,Kingwood,25084,Assault,137,157,173,29,179,467,155.7,26.3,30.7,3.5,15,546.2,625.9,689.7,713.6,620.7
24C40,24,35.7992771,Kingwood,23502,Assault,77,93,98,17,103,268,89.3,27.3,33.8,5.1,15,327.6,395.7,417,438.3,380
24C50,24,7.51791807,Kingwood,5823,Assault,86,116,124,34,143,326,108.7,44.2,66.3,15.3,32,1476.9,1992.1,2129.5,2455.8,1866.7
24C60,24,4.86823328,Kingwood,12811,Assault,77,60,72,7,70,209,69.7,-6.5,-9.1,-2.8,0,601,468.3,562,546.4,544.1
21I60,21,0.01236886,Hobby Airport,0,Assault,9,3,6,1,6,18,6,-33.3,-33.3,0,0,NA,NA,NA,NA,NA
HCC1,NA,NA,NA,NA,Assault,1,1,0,0,0,2,0.7,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Assault,2,8,0,0,0,10,3.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Assault,142,157,17,4,11,316,105.3,-88,-92.3,-35.3,-90,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Assault,196,166,28,1,20,390,130,-85.7,-89.8,-28.6,-85,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Assault,0,0,1,0,0,1,0.3,NA,NA,-100,-100,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Assault,16,13,5,3,8,34,11.3,-68.8,-50,60,-29,NA,NA,NA,NA,NA
