beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,projected22,last12mos,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,rate19,rate20,rate21,rate22,rate_last12,rate_multiyear
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",43178,Theft,922,950,892,115,711,68185,-3.3,-22.9,-20.3,-23,2135.3,2200.2,2065.9,1646.7,157916.1,2133.8
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7397,Theft,167,179,183,36,223,68185,9.6,33.5,21.9,26,2257.7,2419.9,2474,3014.7,921792.6,2383.8
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",22499,Theft,1969,1889,2060,407,2518,68185,4.6,27.9,22.2,28,8751.5,8395.9,9156,11191.6,303057.9,8767.8
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36371,Theft,1309,1194,1387,267,1652,68185,6,26.2,19.1,27,3599,3282.8,3813.5,4542.1,187470.8,3565.1
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35362,Theft,1352,1454,1469,253,1565,68185,8.7,15.8,6.5,10,3823.3,4111.8,4154.2,4425.7,192820,4029.7
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20726,Theft,891,891,1066,186,1151,68185,19.6,29.2,8,21,4298.9,4298.9,5143.3,5553.4,328982.9,4580.4
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,26132,Theft,633,631,663,116,718,68185,4.7,13.4,8.3,12,2422.3,2414.7,2537.1,2747.6,260925.3,2458
19G10,19,2.74020376,Concourse South and Westwood Mall,31267,Theft,984,1232,1226,178,1101,68185,24.6,11.9,-10.2,-4,3147.1,3940.3,3921.1,3521.3,218073.4,3669.5
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",24529,Theft,566,533,386,88,544,68185,-31.8,-3.9,40.9,10,2307.5,2172.9,1573.6,2217.8,277977.1,2018
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",24600,Theft,309,317,272,30,186,68185,-12,-39.8,-31.6,-38,1256.1,1288.6,1105.7,756.1,277174.8,1216.8
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",36255,Theft,656,679,544,87,538,68185,-17.1,-18,-1.1,-14,1809.4,1872.8,1500.5,1483.9,188070.6,1727.6
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18276,Theft,406,580,525,72,445,68185,29.3,9.6,-15.2,-12,2221.5,3173.6,2872.6,2434.9,373084.9,2755.9
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",30032,Theft,905,942,986,162,1002,68185,9,10.7,1.6,6,3013.5,3136.7,3283.2,3336.4,227041.2,3144.4
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18393,Theft,370,425,356,68,421,68185,-3.8,13.8,18.3,10,2011.6,2310.7,1935.5,2288.9,370711.7,2085.9
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",25659,Theft,1243,1123,1074,195,1206,68185,-13.6,-3,12.3,5,4844.3,4376.6,4185.7,4700.1,265735.2,4468.9
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28917,Theft,733,717,636,121,749,68185,-13.2,2.2,17.8,8,2534.8,2479.5,2199.4,2590.2,235795.6,2404.6
