beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6208,Property,167,156,165,26,156,488,162.7,-1.2,-6.6,-5.5,-4,2690.1,2512.9,2657.9,2512.9,2620.8
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6208,Violent,180,216,171,9,152,567,189,-5,-15.6,-11.1,-20,2899.5,3479.4,2754.5,2448.5,3044.5
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16859,Other,407,685,784,117,764,1876,625.3,92.6,87.7,-2.6,22,2414.1,4063.1,4650.3,4531.7,3709
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16859,Property,526,559,431,71,424,1516,505.3,-18.1,-19.4,-1.6,-16,3120,3315.7,2556.5,2515,2997.2
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16859,Violent,402,447,348,58,345,1197,399,-13.4,-14.2,-0.9,-14,2384.5,2651.4,2064.2,2046.4,2366.7
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9391,Other,316,521,572,84,561,1409,469.7,81,77.5,-1.9,19,3364.9,5547.9,6090.9,5973.8,5001.6
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9391,Property,682,659,550,97,559,1891,630.3,-19.4,-18,1.6,-11,7262.3,7017.4,5856.7,5952.5,6711.7
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9391,Violent,222,293,278,35,271,793,264.3,25.2,22.1,-2.5,3,2364,3120,2960.3,2885.7,2814.4
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",24349,Other,794,1164,1172,163,1169,3130,1043.3,47.6,47.2,-0.3,12,3260.9,4780.5,4813.3,4801,4284.8
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",24349,Property,1172,1332,1189,205,1201,3693,1231,1.5,2.5,1,-2,4813.3,5470.5,4883.2,4932.4,5055.6
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",24349,Violent,766,764,696,100,686,2226,742,-9.1,-10.4,-1.4,-8,3145.9,3137.7,2858.4,2817.4,3047.4
10H10,10,2.81830654,Oak Lawn and Ranger,10984,Other,251,347,431,67,441,1029,343,71.7,75.7,2.3,29,2285.1,3159.1,3923.9,4014.9,3122.7
10H10,10,2.81830654,Oak Lawn and Ranger,10984,Property,320,387,357,81,389,1064,354.7,11.6,21.6,9,10,2913.3,3523.3,3250.2,3541.5,3229.2
10H10,10,2.81830654,Oak Lawn and Ranger,10984,Violent,315,271,259,34,257,845,281.7,-17.8,-18.4,-0.8,-9,2867.8,2467.2,2358,2339.8,2564.6
10H20,10,1.75743169,Eastwood and Broadmoor,10612,Other,195,325,316,57,322,836,278.7,62.1,65.1,1.9,16,1837.5,3062.6,2977.8,3034.3,2626.3
10H20,10,1.75743169,Eastwood and Broadmoor,10612,Property,395,400,311,52,321,1106,368.7,-21.3,-18.7,3.2,-13,3722.2,3769.3,2930.6,3024.9,3474.4
10H20,10,1.75743169,Eastwood and Broadmoor,10612,Violent,190,200,197,40,197,587,195.7,3.7,3.7,0,1,1790.4,1884.7,1856.4,1856.4,1844.1
10H30,10,1.02691154,Near East End,3326,Other,180,304,325,56,340,809,269.7,80.6,88.9,4.6,26,5411.9,9140.1,9771.5,10222.5,8108.8
10H30,10,1.02691154,Near East End,3326,Property,780,529,631,109,660,1940,646.7,-19.1,-15.4,4.6,2,23451.6,15905,18971.7,19843.7,19443.8
