beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26103,Property,1685,1518,1497,620,1500,4700,1566.7,-11.2,-11,0.2,-4,6455.2,5815.4,5735,5746.5,6002
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",27946,Property,1093,1057,925,354,906,3075,1025,-15.4,-17.1,-2.1,-12,3911.1,3782.3,3310,3242,3667.8
20G70,20,2.38283582,Westpark Village and Ashford Point,20787,Property,583,644,666,243,608,1893,631,14.2,4.3,-8.7,-4,2804.6,3098.1,3203.9,2924.9,3035.6
20G80,20,25.33626534,City Limits,37327,Property,1319,1283,1332,584,1385,3934,1311.3,1,5,4,6,3533.6,3437.2,3568.5,3710.5,3513
21I10,21,0.00549966,Hobby Airport,0,Property,258,141,185,93,197,584,194.7,-28.3,-23.6,6.5,1,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Property,3,0,9,3,8,12,4,200,166.7,-11.1,100,NA,NA,NA,NA,NA
21I30,21,0.01180375,Hobby Airport,0,Property,7,2,2,0,2,11,3.7,-71.4,-71.4,0,-46,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Property,15,6,2,2,3,23,7.7,-86.7,-80,50,-61,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Property,515,325,446,190,463,1286,428.7,-13.4,-10.1,3.8,8,NA,NA,NA,NA,NA
21I70,21,0.01945113,Hobby Airport,0,Property,5,1,2,1,2,8,2.7,-60,-60,0,-26,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8046,Property,1637,1417,1665,739,1770,4719,1573,1.7,8.1,6.3,13,20345.5,17611.2,20693.5,21998.5,19550.1
5F20,5,5.94082911,Spring Branch and Schwartz Park,41925,Property,1086,1129,1062,446,1053,3277,1092.3,-2.2,-3,-0.8,-4,2590.3,2692.9,2533.1,2511.6,2605.4
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",22505,Property,1014,1121,1044,460,1090,3179,1059.7,3,7.5,4.4,3,4505.7,4981.1,4639,4843.4,4708.7
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30070,Property,1669,1375,1341,672,1486,4385,1461.7,-19.7,-11,10.8,2,5550.4,4572.7,4459.6,4941.8,4861
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",27918,Property,807,739,790,384,876,2336,778.7,-2.1,8.6,10.9,12,2890.6,2647,2829.7,3137.8,2789.2
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22500,Property,926,937,940,389,954,2803,934.3,1.5,3,1.5,2,4115.6,4164.4,4177.8,4240,4152.4
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",17589,Property,935,975,1049,440,1064,2959,986.3,12.2,13.8,1.4,8,5315.8,5543.2,5964,6049.2,5607.5
24C10,24,5.44044978,Kingwood,13401,Property,274,242,218,103,240,734,244.7,-20.4,-12.4,10.1,-2,2044.6,1805.8,1626.7,1790.9,1826
24C20,24,6.8291794,Kingwood,17897,Property,207,207,185,76,201,599,199.7,-10.6,-2.9,8.6,1,1156.6,1156.6,1033.7,1123.1,1115.8
24C30,24,9.78735527,Kingwood,28717,Property,263,232,213,115,232,708,236,-19,-11.8,8.9,-2,915.8,807.9,741.7,807.9,821.8
24C40,24,35.7992771,Kingwood,6374,Property,108,122,104,43,112,334,111.3,-3.7,3.7,7.7,1,1694.4,1914,1631.6,1757.1,1746.2
24C50,24,7.51791807,Kingwood,5184,Property,352,528,552,247,573,1432,477.3,56.8,62.8,3.8,20,6790.1,10185.2,10648.1,11053.2,9207.2
24C60,24,4.86823328,Kingwood,21021,Property,107,92,83,31,83,282,94,-22.4,-22.4,0,-12,509,437.7,394.8,394.8,447.2
21I60,21,0.01236886,Hobby Airport,0,Property,40,22,16,6,17,78,26,-60,-57.5,6.2,-35,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Property,3,1,2,0,1,6,2,-33.3,-66.7,-50,-50,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Property,5,14,1,0,1,20,6.7,-80,-80,0,-85,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Property,179,174,23,8,18,376,125.3,-87.2,-89.9,-21.7,-86,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Property,240,214,38,18,37,492,164,-84.2,-84.6,-2.6,-77,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Property,43,29,10,10,18,82,27.3,-76.7,-58.1,80,-34,NA,NA,NA,NA,NA
